"","dim1","dim2"
"b.cells1147",-15.7834363079343,-105.75611127869
"b.cells6276",-12.6199743936981,-106.245076466973
"b.cells6144",-30.8833854050937,-93.7121360225018
"b.cells6285",3.19079926018551,-104.481629896316
"b.cells8679",-35.2658321612823,-88.0933969748166
"b.cells6455",-22.0915235973304,-86.6401151018421
"b.cells96",-18.7557622735017,-90.7128870255723
"b.cells2344",-22.5973813669021,-81.486608952947
"b.cells6713",-9.55076434590487,-97.0248028186332
"b.cells5182",-9.69574167536766,-98.4466449257366
"b.cells6988",-9.9658882820678,-94.0884064655318
"b.cells5491",-8.78600738183019,-92.2208889036485
"b.cells2848",-18.5906220336965,-98.4376256283777
"b.cells9301",-34.4372665362611,-99.8286006310988
"b.cells2944",-10.6066388875962,-92.9218309975183
"b.cells8432",17.5452291192068,-83.360892904351
"b.cells2882",-12.1975533032148,-107.445881243818
"b.cells2687",-26.4589676353678,-92.189091639666
"b.cells2338",-15.2455763129863,-100.399790048384
"b.cells3187",12.9159026816148,-106.291458274283
"b.cells3047",-13.8638880762661,-86.530064904122
"b.cells1601",16.1332949704925,-106.814184401079
"b.cells403",-41.8343164543284,-105.907943547774
"b.cells2202",8.26870222314044,-86.4672275607788
"b.cells8155",-14.3410449764212,-107.735972071212
"b.cells5288",-16.3804834933926,-98.5561877390369
"b.cells9200",-49.5775478484458,-88.0763723488715
"b.cells8361",-12.8756791555843,-86.8460673003195
"b.cells461",-24.7132664708364,-88.3455301868307
"b.cells4586",-38.4586312081357,-68.0251302948043
"b.cells2667",-8.71300652578281,-87.7785641180628
"b.cells3063",-18.2862265847381,-110.170820485669
"b.cells5100",-21.1042539191215,-110.809496993723
"b.cells1821",-22.4421037216215,-93.678881730082
"b.cells7635",27.921776605044,-103.877284981714
"b.cells2023",6.60153826617475,-85.482228847039
"b.cells2601",-20.9334154127064,-89.6468986960235
"b.cells9969",-24.8974078204675,-93.9207228862628
"b.cells8111",-14.075757010342,-101.450443248139
"b.cells5559",-17.4301647485064,-84.3918471031898
"b.cells6493",-20.20908477702,-59.0209548525039
"b.cells3132",-7.37636009220206,-93.5624685980847
"b.cells6245",-16.4726263291129,-91.5650601220096
"b.cells3312",-28.7233548305875,-93.6996895357627
"b.cells5041",-29.6141274523494,-88.1256202929489
"b.cells6798",9.68334507572711,-91.9695137245782
"b.cells4869",-15.9295986652539,-102.895996123144
"b.cells2449",-33.6550741390059,-88.4867335993245
"b.cells7683",-1.14174340395562,-104.602253899404
"b.cells741",-51.604426427241,-86.8425583387838
"b.cells3108",30.8397932186384,-86.9926404441778
"b.cells7197",-12.1803602929459,-82.7610269474855
"b.cells5062",17.434972036237,-75.8634060079194
"b.cells1535",-27.0403137448112,-92.1208627554781
"b.cells5055",-23.4202885325674,-83.3008379973773
"b.cells4954",8.245959333028,-79.3772878150115
"b.cells7534",-35.3814851631799,-98.4906258335598
"b.cells1752",-13.9776767161304,-82.1754835838644
"b.cells8506",-41.3597424401365,-90.7944982539707
"b.cells8670",26.3579848670973,-82.3787728561772
"b.cells420",-10.5146792851155,-87.8717057668332
"b.cells3180",-6.7729453917388,-71.76997041027
"b.cells138",-23.7950980435113,-78.3304242216685
"b.cells2396",-17.0358492081309,-75.7004802902704
"b.cells7080",1.39408877307536,-103.339804062891
"b.cells3087",-17.5311043091817,-89.7337744064303
"b.cells5095",-27.7575263544882,-93.5606855209209
"b.cells518",-3.57555874416618,-91.3848406001909
"b.cells5655",-51.7913698752542,-80.0218900548824
"b.cells1217",-11.3785688948562,-85.9669562869312
"b.cells8941",-37.3456958152737,-87.9728063638482
"b.cells147",-7.87834469550295,-84.4081926201055
"b.cells7841",-34.0237490126412,-91.8720017808888
"b.cells901",-5.37893646727836,-107.549044667654
"b.cells5198",-18.4616738135414,-91.5723730913284
"b.cells3847",-10.5565894529782,-93.9906735869882
"b.cells702",27.6883850244427,-56.7294067443477
"b.cells3209",-5.63881045656929,-86.6826999313761
"b.cells6689",0.798188516099058,-63.052709630192
"b.cells9269",12.3681579967495,-97.422865861328
"b.cells4721",-37.6334774961983,-71.7844099811322
"b.cells1427",-22.7632313976133,-101.958006647009
"b.cells5444",-19.2890954150976,-89.1007512206658
"b.cells1962",-2.46685166249221,-92.087498832806
"b.cells8986",-29.5125264635516,-107.927430865521
"b.cells3895",28.2504301419879,-85.6923930967989
"b.cells3109",-5.36417354959393,-83.1777055831038
"b.cells1600",-7.93676390320429,-107.401367797872
"b.cells8959",-9.13060000972653,-97.3897565962385
"b.cells1664",2.42102619457959,-89.8696332317066
"b.cells8999",-18.2770099478436,-102.391703228127
"b.cells1340",-11.9193759494293,-95.3227540129805
"b.cells1316",-24.7505095464313,-69.2050435042153
