"","dim1","dim2"
"b.cells1147",16.4610863852666,142.323696833886
"b.cells6276",23.4825728620854,149.697514433941
"b.cells6144",23.0612279460923,134.081569887457
"b.cells6285",4.33712107287794,140.171873646937
"b.cells8679",40.9448529017016,132.002751760113
"b.cells6455",21.4556233084938,124.108551945141
"b.cells96",15.7956111853793,129.184456405102
"b.cells2344",20.7976430659762,121.959386648854
"b.cells6713",6.66132292998545,131.671756846533
"b.cells5182",19.3317773930603,132.442433447824
"b.cells6988",9.72000233907766,133.839382793952
"b.cells5491",18.6768799371788,136.675820820091
"b.cells2848",24.635177119656,132.040413091554
"b.cells9301",40.9961805157439,136.910269283173
"b.cells2944",10.0204289447823,125.779931058137
"b.cells8432",-19.3004292860307,120.794341414566
"b.cells2882",27.7785415235206,144.07097907738
"b.cells2687",23.6914689487462,133.518248148537
"b.cells2338",21.0093457895333,141.455582087078
"b.cells3187",-4.23046478689084,147.731222722592
"b.cells3047",5.69058951367841,124.594958678466
"b.cells1601",-14.1298430549328,135.305243923306
"b.cells403",40.2299615840293,145.579350739972
"b.cells2202",-7.77467138037777,129.134620399656
"b.cells8155",26.2101263424905,151.113408746791
"b.cells5288",20.1579234884648,138.639517207545
"b.cells9200",44.5475289600362,130.092372654951
"b.cells8361",17.6576705291656,125.912867825738
"b.cells461",25.5490918888676,136.827362876892
"b.cells4586",40.6224181184171,113.510944110525
"b.cells2667",-2.08275884040444,125.695122831473
"b.cells3063",19.3147552599199,147.896739080317
"b.cells5100",38.6857031374685,147.224066079336
"b.cells1821",33.8787813967322,134.616380645479
"b.cells7635",-8.77831881083594,134.86083667563
"b.cells2023",-4.89602322779756,127.98534865692
"b.cells2601",25.3019454301655,129.163347822647
"b.cells9969",12.9915591660346,133.147086949131
"b.cells8111",15.3191697760263,140.618366304483
"b.cells5559",22.2834844107185,128.358425149251
"b.cells6493",9.88261507579714,105.919498212752
"b.cells3132",20.3303672301742,128.781979273188
"b.cells6245",18.9986556932401,133.99219638629
"b.cells3312",16.7225569815745,131.369870975761
"b.cells5041",30.9231680795996,129.591673951712
"b.cells6798",-1.38625948548587,129.445779388728
"b.cells4869",17.3544505678809,143.17882335741
"b.cells2449",33.9302634036054,132.735256719721
"b.cells7683",3.87019278914102,144.88866637711
"b.cells741",55.7621713084835,132.817116796847
"b.cells3108",-19.5186364475272,122.864874838639
"b.cells7197",13.8935315034023,124.570144373126
"b.cells5062",-18.8360802901642,116.089589547488
"b.cells1535",19.3785812138765,133.896476252777
"b.cells5055",17.4235119538397,123.008841613107
"b.cells4954",-12.6126621028662,116.262274058261
"b.cells7534",40.3613776081353,140.252234241483
"b.cells1752",6.28940512619784,126.020196324169
"b.cells8506",45.4732559845048,135.740067669564
"b.cells8670",-32.5200846372767,117.976205378331
"b.cells420",10.0091505458926,127.238893717847
"b.cells3180",-7.22225279989199,118.508303535858
"b.cells138",15.1956517371738,121.600782393834
"b.cells2396",13.8206179931133,118.826071760267
"b.cells7080",1.30335385046799,134.075778928758
"b.cells3087",14.1537087537511,129.766093119531
"b.cells5095",29.9914552216895,132.005090934241
"b.cells518",4.9603768430873,129.064695874709
"b.cells5655",47.6240899414528,128.997185002645
