"","celltype","nUMI"
"1","alpha",23231.8495834208
"2","endothelial",31739.5348929457
"3","delta",16752.2710838847
"4","beta",33749.069893752
"5","duct",23343.6342671269
"6","alpha",27138.7426647721
"7","alpha",15813.0731133444
"8","endothelial",11527.8955119605
"9","alpha",39099.0495536641
"10","alpha",28733.7667638874
"11","acinar",41198.935668723
"12","acinar",105758.40336111
"13","alpha",7012.38655805897
"14","alpha",19576.0125632087
"15","alpha",29407.5177955807
"16","beta",18485.7473621653
"17","beta",40206.9908054099
"18","acinar",53047.9943286082
"19","alpha",17281.5277717982
"20","duct",62418.8814410044
"21","acinar",47372.0176016917
"22","delta",20306.7097621643
"23","acinar",45510.2250630093
"24","alpha",17568.8436398039
"25","beta",40556.1411905341
"26","duct",39729.933099867
"27","acinar",42993.4705251677
"28","acinar",62747.5565605636
"29","acinar",71257.1191236516
"30","alpha",31188.3773557684
"31","alpha",26194.0858080294
"32","pp",9152.88334450381
"33","duct",36200.1442461874
"34","duct",26697.7229165808
"35","pp",30789.4591050765
"36","acinar",40546.4500595771
"37","acinar",60104.2344871464
"38","alpha",17919.6417256131
"39","delta",22312.8467373856
"40","duct",33900.3527582746
"41","duct",41416.5352569041
"42","acinar",50333.4626494884
"43","alpha",43764.7941692497
"44","acinar",44187.7143058525
"45","alpha",18600.2470796126
"46","duct",11597.2762175494
"47","acinar",37846.4917864068
"48","duct",32599.8398048287
"49","duct",28759.6088786817
"50","acinar",33558.6465770003
"51","duct",22558.7281081774
"52","alpha",21913.6254487088
"53","duct",36678.5483116324
"54","alpha",41306.3747279738
"55","beta",26671.3071103195
"56","acinar",53290.4194550767
"57","duct",20856.862711199
"58","mesenchymal",52627.7148675661
"59","acinar",51254.3103178249
"60","alpha",25618.4757951642
"61","acinar",64764.2274426692
"62","alpha",23102.8836382267
"63","alpha",32389.5169233223
"64","acinar",53170.3748380021
"65","acinar",54192.5553352399
"66","pp",17581.6348165484
"67","duct",25758.1100431235
"68","alpha",34577.1013402064
"69","duct",13987.4665341915
"70","alpha",14781.2401762949
"71","beta",35371.3133915035
"72","acinar",68497.5974590163
"73","acinar",63628.4688859043
"74","endothelial",29994.505548572
"75","beta",34361.8553988759
"76","duct",74498.2545540265
"77","alpha",24230.9639349167
"78","acinar",66976.4837607147
"79","acinar",32892.3635901477
"80","acinar",43145.8740393927
"81","alpha",11363.088673059
"82","pp",24655.9709351012
"83","alpha",19681.6762161903
"84","acinar",40874.8367140065
"85","alpha",26475.0550853621
"86","beta",21172.4790522937
"87","alpha",25165.8008122741
"88","alpha",14623.6261380599
"89","alpha",10552.6889306626
"90","pp",10935.9148900835
"91","alpha",16464.9179434803
"92","delta",23412.1362536256
"93","duct",11468.5123993973
"94","pp",11565.0486534731
"95","acinar",38792.1459553669
"96","acinar",37934.8136908496
"97","beta",17057.5071071494
"98","acinar",29409.3539870586
"99","duct",20428.4553533488
"100","beta",25439.6211938798
"101","acinar",22371.9157583456
"102","beta",16508.5201611434
"103","alpha",24668.420387853
"104","acinar",43579.7900806347
"105","beta",226837.87737339
"106","alpha",30058.364157947
"107","endothelial",19191.9808393174
"108","acinar",31212.6448246787
"109","duct",13196.3462179707
"110","acinar",61839.2719156391
"111","acinar",40295.4959645887
"112","acinar",71708.987338857
"113","duct",24534.0402537031
"114","duct",20426.0734702341
"115","alpha",20694.6946829092
"116","delta",26021.6194658285
"117","acinar",30475.5322462539
"118","duct",31034.2078134385
"119","alpha",29183.0837590935
"120","acinar",32699.8840235764
"121","alpha",23624.1601559074
"122","alpha",33213.3219244839
"123","duct",56950.2864488804
"124","acinar",29318.9711951749
"125","alpha",31096.1458686383
"126","acinar",43193.0871044259
"127","delta",12995.2425422861
"128","alpha",18654.0098069298
"129","acinar",18229.3772144395
"130","duct",30174.7090251856
"131","duct",21021.6498640774
"132","alpha",116928.93093924
"133","acinar",21329.6428816735
"134","acinar",42441.9795954824
"135","alpha",24947.0537999073
"136","duct",12169.3465205446
"137","delta",25503.1865098567
"138","acinar",121247.360162811
"139","alpha",32420.2695050135
"140","duct",23950.3974307865
"141","alpha",17254.6751374801
"142","acinar",49935.9124206176
"143","duct",24944.4085667268
"144","pp",12798.242177731
"145","alpha",20230.3487289099
"146","duct",20708.3836113659
"147","alpha",27409.2580177602
"148","alpha",15481.4967859356
"149","beta",39637.614186717
"150","alpha",28206.3640606638
"151","pp",16855.7282956823
"152","alpha",24793.8178319001
"153","duct",36062.3300917888
"154","alpha",27994.4522297874
"155","duct",21298.2156154245
"156","acinar",47635.6232394565
"157","duct",26748.2855483762
"158","acinar",22360.2063906076
"159","duct",19921.4650539614
"160","acinar",11703.749218
