"","x"
"1","alpha"
"2","endothelial"
"3","delta"
"4","beta"
"5","duct"
"6","alpha"
"7","alpha"
"8","endothelial"
"9","alpha"
"10","alpha"
"11","acinar"
"12","acinar"
"13","alpha"
"14","alpha"
"15","alpha"
"16","beta"
"17","beta"
"18","acinar"
"19","alpha"
"20","duct"
"21","acinar"
"22","delta"
"23","acinar"
"24","alpha"
"25","beta"
"26","duct"
"27","acinar"
"28","acinar"
"29","acinar"
"30","alpha"
"31","alpha"
"32","pp"
"33","duct"
"34","duct"
"35","pp"
"36","acinar"
"37","acinar"
"38","alpha"
"39","delta"
"40","duct"
"41","duct"
"42","acinar"
"43","alpha"
"44","acinar"
"45","alpha"
"46","duct"
"47","acinar"
"48","duct"
"49","duct"
"50","acinar"
"51","duct"
"52","alpha"
"53","duct"
"54","alpha"
"55","beta"
"56","acinar"
"57","duct"
"58","mesenchymal"
"59","acinar"
"60","alpha"
"61","acinar"
"62","alpha"
"63","alpha"
"64","acinar"
"65","acinar"
"66","pp"
"67","duct"
"68","alpha"
"69","duct"
"70","alpha"
"71","beta"
"72","acinar"
"73","acinar"
"74","endothelial"
"75","beta"
"76","duct"
"77","alpha"
"78","acinar"
"79","acinar"
"80","acinar"
"81","alpha"
"82","pp"
"83","alpha"
"84","acinar"
"85","alpha"
"86","beta"
"87","alpha"
"88","alpha"
"89","alpha"
"90","pp"
"91","alpha"
"92","delta"
"93","duct"
"94","pp"
"95","acinar"
"96","acinar"
"97","beta"
"98","acinar"
"99","duct"
"100","beta"
"101","acinar"
"102","beta"
"103","alpha"
"104","acinar"
"105","beta"
"106","alpha"
"107","endothelial"
"108","acinar"
"109","duct"
"110","acinar"
"111","acinar"
"112","acinar"
"113","duct"
"114","duct"
"115","alpha"
"116","delta"
"117","acinar"
"118","duct"
"119","alpha"
"120","acinar"
"121","alpha"
"122","alpha"
"123","duct"
"124","acinar"
"125","alpha"
"126","acinar"
"127","delta"
"128","alpha"
"129","acinar"
"130","duct"
"131","duct"
"132","alpha"
"133","acinar"
"134","acinar"
"135","alpha"
"136","duct"
"137","delta"
"138","acinar"
"139","alpha"
"140","duct"
"141","alpha"
"142","acinar"
"143","duct"
"144","pp"
"145","alpha"
"146","duct"
"147","alpha"
"148","alpha"
"149","beta"
"150","alpha"
"151","pp"
"152","alpha"
"153","duct"
"154","alpha"
"155","duct"
"156","acinar"
"157","duct"
"158","acinar"
"159","duct"
"160","acinar"
"161","acinar"
"162","duct"
"163","alpha"
"164","acinar"
"165","alpha"
"166","acinar"
"167","alpha"
"168","acinar"
"169","duct"
"170","duct"
"171","duct"
"172","alpha"
"173","beta"
"174","duct"
"175","acinar"
"176","acinar"
"177","alpha"
"178","alpha"
"179","acinar"
"180","pp"
"181","duct"
"182","beta"
"183","pp"
"184","acinar"
"185","duct"
"186","beta"
"187","alpha"
"188","alpha"
"189","alpha"
"190","duct"
"191","acinar"
