"","x"
"1","Prog.early"
"2","Prog.mid"
"3","SIK"
"4","Prog.early"
"5","EC"
"6","Prog.late"
"7","SIL.pyy"
"8","Prog.mid"
"9","Prog.late"
"10","EC.Reg4"
"11","SAKD"
"12","SIK"
"13","Prog.late"
"14","Prog.mid"
"15","Prog.early"
"16","Prog.A"
"17","Prog.early"
"18","Prog.mid"
"19","EC.Reg4"
"20","SAKD"
"21","SIAL"
"22","SIAL"
"23","SIK.pyy"
"24","Prog.mid"
"25","Prog.early"
"26","EC"
"27","SAKD"
"28","SAKD"
"29","Prog.mid"
"30","EC"
"31","Prog.A"
"32","SIK"
"33","Prog.late"
"34","Prog.late"
"35","EC"
"36","Prog.late"
"37","Prog.mid"
"38","Prog.mid"
"39","Prog.early"
"40","Prog.A"
"41","Prog.mid"
"42","Prog.early"
"43","SIAL"
"44","Prog.mid"
"45","EC"
"46","Prog.mid"
"47","Prog.A"
"48","Prog.early"
"49","Prog.mid"
"50","Prog.mid"
"51","Prog.early"
"52","SIAL"
"53","Prog.mid"
"54","Prog.mid"
"55","SAKD"
"56","SIK"
"57","Prog.mid"
"58","Prog.early"
"59","Prog.early"
"60","EC"
"61","Prog.mid"
"62","Prog.mid"
"63","Prog.A"
"64","Prog.early"
"65","Prog.early"
"66","Prog.late"
"67","Prog.late"
"68","Prog.mid"
"69","SIL.pyy"
"70","Prog.mid"
"71","SN"
"72","SIL.pyy"
"73","SIL.pyy"
"74","SAKD"
"75","Prog.early"
"76","Prog.early"
"77","Prog.early"
"78","SAKD"
"79","EC.Reg4"
"80","Prog.mid"
"81","EC"
"82","Prog.early"
"83","Prog.early"
"84","SAKD"
"85","Prog.late"
"86","Prog.early"
"87","Prog.early"
"88","SIK"
"89","EC.Reg4"
"90","Prog.early"
"91","Prog.mid"
"92","SIAL"
"93","SAKD"
"94","EC"
"95","SIAL"
"96","Prog.mid"
"97","SIK.pyy"
"98","SIK"
"99","SIAL"
"100","Prog.late"
"101","SIL.pyy"
"102","Prog.late"
"103","SIK"
"104","EC"
"105","Prog.late"
"106","SN"
"107","SIK"
"108","EC.Reg4"
"109","SIK.pyy"
"110","EC.Reg4"
"111","EC"
"112","Prog.early"
"113","Prog.early"
"114","Prog.early"
"115","SIK.pyy"
"116","SN"
"117","Prog.mid"
"118","EC"
"119","Prog.early"
"120","Prog.early"
"121","SIL.pyy"
"122","SIL.pyy"
"123","Prog.mid"
"124","Prog.early"
"125","EC"
"126","SIK"
"127","SIK"
"128","EC.Reg4"
"129","Prog.mid"
"130","SIAL"
"131","EC.Reg4"
"132","Prog.mid"
"133","Prog.A"
"134","SN"
"135","Prog.mid"
"136","SIK"
"137","SIK.pyy"
"138","SIK"
"139","SIL.pyy"
"140","EC"
"141","SIK"
"142","EC"
"143","Prog.mid"
"144","EC"
"145","EC"
"146","Prog.early"
"147","Prog.mid"
"148","EC.Reg4"
"149","SAKD"
"150","Prog.early"
"151","EC"
"152","SIK"
"153","Prog.early"
"154","SAKD"
"155","SIK"
"156","Prog.late"
"157","SN"
"158","EC.Reg4"
"159","EC.Reg4"
"160","Prog.mid"
"161","Prog.late"
"162","SAKD"
"163","EC.Reg4"
"164","EC.Reg4"
"165","Prog.mid"
"166","SAKD"
"167","SIK"
"168","Prog.mid"
"169","SIAL"
"170","Prog.mid"
"171","Prog.mid"
"172","Prog.A"
"173","EC"
"174","SIAL"
"175","SIK"
"176","SN"
"177","SIAL"
"178","EC.Reg4"
"179","SIAL"
"180","EC"
"181","Prog.early"
"182","EC.Reg4"
"183","Prog.early"
"184","EC.Reg4"
"185","SIK.pyy"
"186","Prog.late"
"187","EC"
"188","EC.Reg4"
"189","Prog.late"
"190","Prog.early"
"191","EC"
"192","Prog.early"
"193","EC.Reg4"
"194","EC.Reg4"
"195","EC.Reg4"
"196","EC.Reg4"
"197","EC.Reg4"
"198","Prog.mid"
"199","EC"
"200","EC.Reg4"
"201","SIK.pyy"
"202","EC"
"203","SAKD"
"204","SAKD"
"205","Prog.mid"
"206","EC"
"207","SIK"
"208","EC.Reg4"
"209","EC.Reg4"
"210","SIK"
"211","Prog.late"
"212","SIAL"
"213","Prog.mid"
"214","EC"
"215","EC.Reg4"
"216","Prog.late"
"217","EC.Reg4"
"218","Prog.mid"
"219","Prog.mid"
"220","Prog.mid"
"221","SN"
"222","SIK.pyy"
"223","SIAL"
"224","EC.Reg4"
"225","EC.Reg4"
"226","EC"
"227","Prog.mid"
"228","Prog.early"
"229","Prog.mid"
"230","Prog.mid"
"231","EC.Reg4"
"232","EC.Reg4"
"233","EC.Reg4"
"234","EC.Reg4"
"235","Prog.A"
"236","EC"
"237","Prog.mid"
"238","Prog.early"
"239","EC"
"240","SIL.pyy"
"241","SIK.pyy"
"242","Prog.late"
"243","Prog.mid"
"244","EC"
"245","SIL.pyy"
"246","SAKD"
"247","EC"
"248","SIK"
"249","SIL.pyy"
"250","SIL.pyy"
"251","Prog.late"
"252","SN"
"253","SIL.pyy"
"254","EC.Reg4"
"255","SAKD"
"256","SAKD"
"257","Prog.mid"
"258","SIL.pyy"
"259","EC"
"260","Prog.mid"
"261","EC"
"262","SIK.pyy"
"263","SIL.pyy"
"264","Prog.early"
"265","Prog.mid"
"266","SIL.pyy"
"267","Prog.late"
"268","SIK.pyy"
"269","Prog.mid"
"270","Prog.late"
"271","Prog.early"
"272","Prog.A"
"273","Prog.early"
"274","Prog.mid"
"275","Prog.late"
"276","Prog.mid"
"277","SIK.pyy"
"278","Prog.late"
"279","Prog.late"
"280","Prog.late"
"281","SIL.pyy"
"282","Prog.early"
"283","Prog.mid"
"284","SIL.pyy"
"285","EC"
"286","Prog.early"
"287","Prog.early"
"288","Prog.late"
"289","Prog.mid"
"290","Prog.early"
"291","Prog.mid"
"292","Prog.late"
"293","SIL.pyy"
"294","SIL.pyy"
"295","SIK"
"296","Prog.late"
"297","SIK.pyy"
"298","Prog.early"
"299","Prog.early"
"300","Prog.mid"
"301","Prog.late"
"302","SIAL"
"303","SAKD"
"304","SIL.pyy"
"305","SIK.pyy"
"306","SAKD"
"307","Prog.early"
"308","SIL.pyy"
"309","SIL.pyy"
"310","EC"
"311","Prog.early"
"312","Prog.early"
"313","SIL.pyy"
"314","Prog.mid"
"315","SIL.pyy"
"316","Prog.early"
"317","SAKD"
"318","Prog.mid"
"319","SIL.pyy"
"320","Prog.mid"
"321","Prog.late"
"322","SIK"
"323","Prog.mid"
"324","SIL.pyy"
"325","SAKD"
"326","Prog.mid"
"327","Prog.early"
"328","SIK"
"329","Prog.A"
"330","SIK"
"331","SIK"
"332","Prog.early"
"333","Prog.early"
"334","Prog.mid"
"335","SIAL"
"336","Prog.A"
"337","Prog.mid"
"338","Prog.mid"
"339","Prog.mid"
"340","SIAL"
"341","Prog.mid"
"342","Prog.mid"
"343","Prog.mid"
"344","SAKD"
"345","SIK"
"346","SIK"
"347","Prog.mid"
"348","Prog.mid"
"349","SAKD"
"350","SAKD"
"351","Prog.A"
"352","SIL.pyy"
"353","SAKD"
"354","SIK"
"355","EC.Reg4"
"356","Prog.mid"
"357","Prog.A"
"358","EC.Reg4"
"359","EC.Reg4"
"360","EC"
"361","SIK"
"362","Prog.early"
"363","Prog.A"
"364","Prog.mid"
"365","Prog.early"
"366","Prog.late"
"367","SIAL"
"368","Prog.mid"
"369","SIK"
"370","Prog.early"
"371","SIK"
"372","Prog.mid"
"373","Prog.late"
"374","SIAL"
"375","SAKD"
"376","SIK"
"377","EC.Reg4"
"378","EC.Reg4"
"379","EC.Reg4"
"380","Prog.late"
"381","SIK"
"382","Prog.A"
"383","SIK"
"384","Prog.mid"
"385","SIK"
"386","Prog.mid"
"387","Prog.mid"
"388","Prog.mid"
"389","Prog.mid"
"390","SIAL"
"391","Prog.mid"
"392","SIAL"
"393","Prog.mid"
"394","Prog.late"
"395","EC"
"396","Prog.mid"
"397","Prog.mid"
"398","EC.Reg4"
"399","Prog.late"
"400","Prog.mid"
"401","Prog.mid"
"402","Prog.mid"
"403","SIK"
"404","Prog.late"
"405","EC.Reg4"
"406","Prog.mid"
"407","Prog.mid"
"408","Prog.late"
"409","SIAL"
"410","EC"
"411","Prog.mid"
"412","EC.Reg4"
"413","EC"
"414","Prog.late"
"415","EC.Reg4"
"416","Prog.A"
"417","Prog.mid"
"418","Prog.A"
"419","Prog.mid"
"420","SIK"
"421","Prog.mid"
"422","SIAL"
"423","SIAL"
"424","SIK"
"425","Prog.mid"
"426","Prog.mid"
"427","Prog.late"
"428","Prog.late"
"429","Prog.mid"
"430","EC.Reg4"
"431","Prog.mid"
"432","EC.Reg4"
"433","EC.Reg4"
"434","EC"
"435","SIAL"
"436","Prog.late"
"437","EC"
"438","EC"
"439","SIAL"
"440","Prog.late"
"441","Prog.mid"
"442","Prog.mid"
"443","EC.Reg4"
"444","Prog.early"
"445","Prog.mid"
"446","SIK.pyy"
"447","Prog.late"
"448","Prog.early"
"449","SIK"
"450","Prog.early"
"451","Prog.early"
"452","Prog.mid"
"453","Prog.mid"
"454","Prog.early"
"455","SIAL"
"456","EC.Reg4"
"457","Prog.early"
"458","Prog.late"
"459","Prog.late"
"460","SIK"
"461","Prog.late"
"462","SIL.pyy"
"463","Prog.late"
"464","Prog.late"
"465","SIAL"
"466","Prog.mid"
"467","Prog.early"
"468","Prog.mid"
"469","Prog.early"
"470","EC.Reg4"
"471","Prog.mid"
"472","Prog.mid"
"473","SIK"
"474","EC"
"475","Prog.mid"
"476","SIK"
"477","SIK"
"478","EC"
"479","Prog.mid"
"480","SIK"
"481","SN"
"482","EC"
"483","Prog.late"
"484","Prog.early"
"485","SIAL"
"486","EC"
"487","SIK"
"488","Prog.mid"
"489","SIL.pyy"
"490","Prog.early"
"491","Prog.late"
"492","Prog.A"
"493","SIAL"
"494","Prog.mid"
"495","Prog.late"
"496","Prog.early"
"497","Prog.mid"
"498","Prog.mid"
"499","SIK"
"500","SN"
"501","Prog.mid"
"502","Prog.early"
"503","SIK.pyy"
"504","SAKD"
"505","SIAL"
"506","Prog.late"
"507","EC"
"508","Prog.early"
"509","Prog.A"
"510","Prog.mid"
"511","EC"
"512","Prog.early"
"513","Prog.late"
"514","SAKD"
"515","Prog.early"
"516","Prog.A"
"517","Prog.late"
"518","EC"
"519","EC"
"520","Prog.mid"
"521","Prog.early"
"522","Prog.early"
"523","EC"
"524","Prog.mid"
"525","Prog.mid"
"526","SIAL"
"527","Prog.mid"
"528","SAKD"
"529","Prog.late"
"530","Prog.late"
"531","Prog.early"
"532","EC"
"533","Prog.late"
