count_0,count_1
-4.910453,-17.087637
-4.344187,-15.934419
6.889226,1.2531555
-4.7963514,-17.333511
-4.0988092,-15.945449
-4.513303,-16.26362
-4.1811705,-15.843597
-4.8411207,-17.42338
-5.0143313,-16.21023
-4.2496667,-15.849923
-4.592266,-17.02312
-12.455741,-4.471519
7.1006765,3.4291995
-4.072219,-16.652601
-10.505732,-3.4200876
-4.246054,-16.612585
-4.2542324,-16.345179
-11.278478,-1.9497207
-10.474394,-3.0623994
-4.553695,-18.101437
-4.2016854,-16.32216
-4.3027678,-17.73249
-4.0829754,-15.612479
-4.3243666,-17.634556
-4.512975,-17.502491
-3.991916,-16.35721
-4.142025,-15.764617
-3.9343636,-15.712846
-4.2453895,-17.003576
-4.1983237,-16.536495
-4.4791536,-17.6596
-4.2885995,-15.71556
-5.212382,-15.992731
-4.1421404,-17.149221
-10.492023,-3.3634295
-4.634384,-16.752512
-4.984644,-16.386978
-11.085715,3.5150657
-10.656352,3.5973907
-4.0170717,-15.551272
-4.9582024,-15.999566
-10.384847,-2.949916
-4.319215,-17.867079
-3.9377456,-15.612179
-10.206375,-1.5059832
-4.2487946,-16.03079
-4.0572186,-16.006851
-4.0073557,-16.412735
-4.062974,-15.900547
-4.130075,-17.346249
-4.285625,-16.316324
-4.164484,-16.698677
-4.0282364,-15.8667965
-4.1660047,-16.092543
-10.843005,1.9642792
-12.589215,0.8237392
-4.16639,-16.01807
-5.580552,-19.273926
-5.6270757,-18.177105
-5.358053,-19.192768
-5.8190446,-17.171926
-14.723025,-2.305037
-5.9780717,-17.35934
-5.260255,-17.79462
-4.719369,-17.954737
-5.279359,-17.252441
-5.524537,-16.974663
-5.4139495,-16.834146
-4.4643793,-16.471735
-5.340466,-18.122345
-5.2166715,-16.956303
-5.2969112,-19.250423
-5.1299915,-17.40251
-5.395697,-17.682783
-5.119232,-16.579771
-4.869939,-17.774704
-4.5444217,-16.71249
-4.33444,-16.409807
-4.8444653,-16.637873
-4.8905354,-17.649076
-5.54963,-16.783037
-4.7843776,-18.733292
-5.7940288,-17.27294
-12.67876,-3.382604
-4.5760202,-16.933748
7.8176265,4.3819156
-11.8365965,5.75879
-12.574291,-1.1710266
-4.871066,-18.209333
-4.307599,-16.109886
-4.761182,-17.570873
-4.201627,-16.673155
-5.481382,-16.563671
-5.5057416,-17.024616
-4.4408455,-16.668772
-3.878299,-15.711334
-4.0878763,-15.869151
-5.0403633,-17.119417
-4.5684085,-18.476065
-4.528275,-17.873781
-4.242997,-16.818148
-5.168261,-16.588665
-4.663217,-17.068647
-4.822164,-16.332394
-4.4864154,-18.033648
-4.3844266,-15.8767395
-4.597468,-18.444546
-4.0683403,-15.760612
-4.1567116,-16.218372
-4.1678586,-15.83488
-4.8483334,-17.320778
-4.160968,-15.808609
-5.180569,-17.874443
-4.8101687,-17.701452
-4.3465066,-15.68405
-4.3744173,-18.1069
-5.2783093,-17.853195
-4.651162,-16.446825
-4.636189,-16.569174
-4.6265855,-17.711105
-4.3241396,-16.385113
-4.5730557,-16.60476
-4.6262345,-18.332808
-4.399404,-16.24375
-4.040862,-15.96742
-4.1274505,-15.85554
-4.7673297,-16.311348
-4.0460377,-16.87655
-5.0543156,-16.536303
-4.1916265,-16.849009
-4.1615596,-16.319784
-4.2960925,-16.22181
-4.684249,-17.33481
-4.3804045,-17.730402
-4.5241427,-17.100569
-4.2066517,-16.677486
-4.2807174,-17.448858
-4.453138,-17.570152
-5.314848,-19.031927
-5.0768604,-17.016253
-4.8619447,-18.082525
-5.0420985,-17.714657
-5.339979,-16.87878
-4.4953365,-16.69712
-4.7032056,-16.608974
-5.072604,-16.593222
-4.7333884,-16.90296
-5.13688,-18.998472
-4.222064,-17.53239
-4.087968,-15.903082
-4.4880815,-16.88824
-4.2589793,-16.091051
-5.4434614,-17.009315
-4.9601684,-16.719809
-4.63204,-17.725525
-4.0695987,-16.047188
-3.8680859,-16.083376
-3.95479,-15.866387
-3.9433975,-15.81634
-4.5112066,-15.991714
-3.9305503,-15.960234
-4.013305,-15.717502
-4.0039434,-16.152235
-4.841858,-16.287363
-4.238125,-15.727027
-4.649103,-16.11334
-4.3550596,-16.336828
-4.2072983,-16.684216
-4.2425456,-16.106228
-4.150308,-15.947322
-3.8837843,-15.63001
-4.2980943,-16.054129
-4.294283,-17.100334
-5.1353526,-17.160227
-4.60206,-18.443571
-4.7651386,-17.336246
-4.801817,-17.428171
-11.930438,4.7893157
-5.2218266,-16.904547
-4.318622,-15.797932
-4.7955337,-16.928066
-4.4826503,-16.165115
-3.829417,-15.557807
-4.3852725,-16.472784
-4.2185984,-17.231249
-3.947182,-15.797805
-4.0666184,-15.966745
-4.147843,-17.351982
-4.292208,-15.925966
-4.362577,-16.676924
-4.0972733,-16.844229
-10.392738,1.2196151
-6.440612,-17.101845
-5.786037,-17.694628
-5.5038366,-19.192198
-5.2881136,-18.500977
-5.593936,-17.348032
-6.0188575,-17.107965
-5.5687146,-19.29467
-5.6163344,-16.900143
-5.4304347,-19.037083
-5.3573713,-19.05125
-5.5586977,-17.187838
-5.585671,-18.827106
-5.965797,-17.355701
-6.0331497,-17.10132
-5.704607,-17.995394
-5.533975,-19.2966
-5.1311812,-18.280638
-5.1589675,-18.295761
-6.0839863,-17.043604
-6.1069345,-17.141201
-5.5933166,-19.232304
-6.0505443,-17.14927
-4.533941,-17.469353
-5.537065,-18.685266
-5.332876,-17.060497
-5.947923,-17.311144
