data_0,data_1
13.235227,-11.019102
12.971706,-8.952871
-6.335043,-6.13636
12.8064995,-10.287871
12.498079,-9.29828
13.090168,-8.972011
12.662299,-8.78572
13.456785,-10.261904
13.234459,-8.964963
12.644465,-9.454409
13.793822,-9.925253
13.097472,-8.92051
-4.4947495,-7.400352
13.284836,-10.084329
3.8305364,9.093203
12.47453,-9.79105
12.559028,-10.249379
6.1949434,8.909334
3.586338,9.7710705
13.246372,-10.558726
12.829416,-9.38537
13.528069,-11.113102
12.565554,-8.739224
13.269965,-10.684646
13.284093,-10.276476
-4.4577036,-7.057543
12.633459,-8.649599
12.787776,-12.132343
13.13059,-10.334003
13.110202,-9.426344
13.169351,-11.950662
12.70753,-9.140689
13.2884035,-8.769958
13.354591,-10.497849
3.8825715,9.321716
12.997217,-9.863386
13.536373,-9.478622
10.619565,5.4207664
10.165886,5.7838063
12.669966,-8.814323
13.210507,-8.766511
12.6610775,-9.016182
13.581084,-10.728942
12.675808,-8.799386
4.793708,10.372053
12.990594,-9.445754
12.673297,-9.716908
13.517928,-9.850277
12.8908615,-9.174298
13.180933,-10.248469
13.5342045,-9.378445
13.332982,-10.439553
12.758602,-8.831258
12.632254,-9.370125
10.129093,6.757282
13.105789,-8.614178
12.504861,-9.03817
14.618758,-10.629076
13.705495,-11.194131
13.884435,-11.613003
13.134525,-9.303248
5.3394537,7.485914
13.837661,-9.634437
13.608461,-11.291776
13.759346,-11.268555
14.441147,-9.687561
13.689519,-9.1527
12.633835,-8.8289385
13.304868,-9.47685
13.310825,-9.848693
13.252929,-9.063805
13.892261,-11.605801
13.391552,-9.718844
14.2340765,-9.68531
13.229465,-9.31479
13.720153,-10.461591
12.61791,-10.532121
12.772277,-9.757573
12.934846,-9.327335
13.71124,-10.093906
13.157695,-8.727547
13.924719,-11.664082
14.801289,-9.703177
4.282596,8.654298
13.625091,-9.874476
-4.351421,-8.101907
13.217309,-8.551787
6.3009343,10.522784
13.613607,-11.39998
13.154641,-9.419631
13.352202,-10.504794
13.026268,-9.650914
13.635487,-9.114879
14.814622,-9.715309
12.651394,-9.863574
12.537579,-9.300464
12.65265,-8.778498
13.472124,-10.626805
13.77622,-11.095023
13.539386,-10.546592
13.366666,-10.079429
13.523749,-9.2903805
13.691269,-10.726448
13.978485,-9.815968
13.531296,-10.945992
12.823618,-9.223728
13.762106,-11.19198
12.577639,-9.209039
12.640802,-9.591259
13.790285,-9.486541
13.826813,-10.144579
12.646517,-9.089633
12.774453,-10.894894
13.263811,-10.429521
4.3555007,9.302771
13.626767,-10.979395
13.817081,-10.560097
14.494443,-9.532176
14.201618,-9.668406
13.520019,-10.969385
12.649548,-9.611529
13.245219,-9.459569
13.651989,-11.066687
12.793759,-9.70333
13.067645,-9.485418
12.553626,-9.316996
12.82178,-9.368988
13.221403,-10.415233
13.06136,-8.811438
12.8222065,-9.601553
12.914466,-10.238372
12.630872,-9.293525
12.889679,-11.8876
13.742236,-10.693664
13.071796,-9.550642
13.125124,-9.580012
13.252157,-10.382323
13.3657055,-10.581748
13.865702,-11.343677
12.896994,-9.292128
13.005213,-10.786942
13.497977,-10.540314
14.098425,-9.615077
12.315457,-10.019277
13.186348,-9.217791
13.576177,-9.450649
14.02451,-9.476587
13.827171,-11.347799
13.591406,-10.294226
12.633877,-9.180792
12.793407,-9.827858
12.57704,-9.536938
14.560202,-9.607562
12.64467,-9.78138
13.0627365,-10.253282
12.699372,-9.09903
12.736003,-9.235337
12.648573,-9.134974
12.429419,-9.344752
13.928033,-9.178255
12.62753,-9.129346
12.70695,-8.944543
12.808556,-9.516573
13.407704,-9.599119
13.876686,-9.158869
13.626636,-9.149831
13.017988,-9.649876
12.712653,-9.728668
12.981131,-9.34109
12.589031,-9.065172
12.474568,-8.943767
13.360222,-9.443618
13.693942,-9.77918
13.607176,-9.922239
13.580178,-11.008637
13.174289,-10.047758
13.190503,-10.088975
