data_0,data_1
-4.1662965,8.403708
-4.634994,7.3950167
3.8194156,0.0063508796
-4.0817447,7.6888385
-4.205754,7.388386
-4.729071,7.469035
-4.6608152,6.98379
-4.3593755,8.065996
-4.941214,7.3529916
-4.1418633,7.5504384
-4.720391,8.200018
-5.0453653,7.2169533
3.6321018,2.160808
-4.417283,8.148907
-7.843855,1.4995757
-3.9184978,7.6753917
-3.908301,7.6506023
-5.0379677,6.852873
-7.521202,1.322387
-4.1600533,8.314692
-4.4865656,7.650566
-4.2827587,8.608706
-4.603232,7.3194923
-4.1150217,8.402295
-4.3113766,8.317822
3.5917263,2.038131
-4.863898,7.313633
-3.0845537,8.882984
-4.2412663,8.320998
-4.716072,7.535102
-3.2331946,8.8515005
-4.220278,7.5375247
-8.446422,0.7012544
-4.3030205,8.40967
-7.5276046,1.1714516
-4.1872764,7.852719
-4.771993,8.0471115
-6.6421747,-3.2176704
-7.114284,-3.0908961
-4.699602,7.3626566
-4.959212,7.423867
-4.7565064,7.103818
-4.405557,8.586781
-4.711455,7.3295736
-7.6772513,0.51282525
-4.4647293,7.6687026
-4.0345626,7.7837367
-4.5302157,8.387598
-4.5374494,7.6156025
-4.3159,8.193147
-4.7374754,7.99894
-4.347493,8.553408
-4.725702,7.4397826
-4.230531,7.6024733
-6.977391,-2.8527236
-8.260864,0.6062591
-4.4511557,7.482334
-4.966706,8.446973
-3.9739187,8.726756
-3.9983501,8.883035
-4.578107,7.542337
-7.039674,1.6494973
-4.5158415,7.9393005
-4.0447145,8.651285
-4.223017,8.950398
-5.114549,8.211397
-4.961886,7.5195184
-4.568317,7.3756456
-4.6799064,7.6786118
-4.8559875,7.3554993
-4.9305615,7.3606405
-4.024939,8.895213
-4.3585296,8.231325
-4.6807075,7.811828
-4.8204923,7.6591153
-3.0474803,7.7891593
-3.0836742,7.769799
-4.294286,7.7056274
-6.9527884,1.8589642
-3.0745106,7.7748294
-4.688072,7.2617145
-4.0318274,9.018356
-5.228144,8.308965
-7.135408,1.7548296
-4.4649234,8.087079
3.551404,2.7259128
-4.92311,7.2730317
-8.297033,3.9026785
-4.0847254,8.711349
-4.650956,7.8839073
-4.0369973,8.252867
-4.516485,7.9360647
-4.8759184,7.8325644
-5.2685213,8.351804
-4.1087418,7.593307
-4.1935782,7.492867
-6.8369174,1.1038334
-4.2755566,8.487188
-4.1576495,8.919875
-4.319934,8.421721
-1.7969157,3.6623876
-4.662522,7.8491464
-4.480176,8.139261
-3.071115,7.785763
-4.176051,8.448747
-4.4821997,7.6349177
-4.134159,8.877536
-4.305716,7.4546227
-4.122427,7.63695
-4.8403506,7.744504
-3.0596967,7.7870164
-4.4370837,7.4177437
-3.8174329,7.711718
-4.1521306,8.179276
-6.79715,0.8602427
-4.24073,8.709504
-4.1947393,8.079386
-5.2126613,8.235347
-4.36588,8.137412
-4.074854,8.63706
-4.273852,7.653335
-4.812434,7.3273296
-4.1170125,8.767741
-4.157828,7.648829
-3.0382717,7.782876
-4.329731,7.5159836
-4.519856,7.7257757
-4.247694,8.036636
-4.6593957,7.281474
-4.4792876,7.7589793
-4.3562393,7.8456817
-4.41743,7.525674
-3.1328902,8.875599
-4.4424996,8.516285
-4.4912124,7.817373
-4.6526413,7.8869452
-4.2139583,8.315349
-4.1123853,8.471974
-4.1965303,8.682125
-4.4707828,7.477458
-3.9152296,8.033353
-4.309059,8.307462
-4.9686394,8.056429
-3.9953425,7.458242
-4.5944605,7.700349
-4.7408805,7.806924
-4.862477,7.8651247
-4.042204,8.787311
-4.4704514,8.3026905
-4.288612,7.4734454
-4.143666,7.775949
-4.052236,7.6664953
-5.1965303,8.350225
-4.171346,7.496205
-4.291456,7.969769
-4.472292,7.5202823
-4.5710425,7.572391
-4.43749,7.4872174
-4.131355,7.336977
-5.0273247,7.9940495
-4.4339805,7.4960594
-4.607731,7.4724536
-4.377406,7.7493773
-4.6521826,7.9169326
-5.1040907,7.943701
-5.0180106,7.875286
-4.457524,7.856138
-4.1963573,7.6932335
-4.6228814,7.720485
-4.3868985,7.3907413
-4.2952714,7.363024
-4.682469,7.742797
-4.6349277,8.048003
-4.64745,8.04158
-4.093877,8.669448
-4.166785,8.119182
-4.210803,8.222539
-6.9553084,-3.424774
-4.6703777,6.93733
-4.6915703,7.559931
-4.2541666,8.191043
-4.5466523,7.5589027
-4.6190543,7.068554
-4.090559,7.8412843
-4.3688545,8.152758
-4.58579,7.3834515
-4.5804996,7.532292
-4.291541,8.529874
-4.759522,7.927166
-3.9990592,7.7929645
-4.3227835,8.432003
-7.06567,-0.51661175
-4.8359466,7.0010076
-5.279167,8.347514
-3.8622131,8.998464
-4.013872,8.297065
-4.599396,7.778054
-5.2318377,8.250188
-3.7422783,8.462323
-4.8489695,7.1630883
-3.8935885,8.897524
-3.94841,8.749897
-5.0708036,8.063569
-3.9747193,8.490796
-4.7324443,7.424173
-9.756382,0.67757356
-5.1182103,8.302023
-3.8973796,8.8228245
-3.7515328,8.266841
-4.1117496,8.673593
-4.8756022,7.181494
-2.0797336,3.0639465
-3.8248894,8.600096
-5.02877,7.40022
-4.089522,8.751833
-3.7333646,8.076031
-4.972391,8.001311
-4.96958,7.747795
-4.012759,8.7242985
-6.8509808,2.8412757
-3.8540268,8.385873
-4.1108418,7.8598027
-4.092622,7.97937
-4.0140533,8.667511
-3.6665416,7.8123636
-4.2189064,7.7821436
-4.0094132,8.281016
-4.349596,7.388415
-8.125783,-0.7494598
-4.112027,8.691676
-4.411942,7.368048
-4.4059715,7.5888767
-4.0218506,8.79757
-4.012748,8.851025
-4.4042172,8.234271
-3.9846447,8.801657
-3.874651,7.5620055
-3.979741,8.2757225
-4.087551,8.469226
-4.4871593,8.211552
-4.3945274,8.406281
-3.9079928,8.323005
-5.1732635,8.005084
-4.671084,7.48381
-4.8525767,7.2514005
-3.8471537,9.171004
-4.83635,8.361066
-4.24805,6.966716
-4.9008675,8.006853
-3.8232691,8.844238
-3.952731,9.003438
-4.1998444,8.222957
-4.8970313,7.8407545
-4.149522,7.978245
-4.1333427,8.738712
-3.920605,9.095382
-3.9682589,8.813645
-4.082299,7.881219
-5.2639146,8.368248
-3.9743223,8.7633295
-4.5873313,7.1632285
-4.6956253,8.163378
-4.1181498,8.515485
-5.0390425,7.604932
-4.6763563,7.2780886
-4.2474566,8.333903
-4.015521,8.858966
-4.427684,8.019491
-3.994152,8.749621
-4.1021004,8.351191
-5.0251255,7.6579003
-4.703523,7.2584114
-4.216863,8.004818
-4.2375846,8.611277
-4.8618093,7.2176523
-3.805655,8.558932
-4.215797,8.424338
-4.215801,7.817672
-4.1468673,8.726603
-4.3636985,7.632835
-4.2577624,7.351794
-4.6881757,7.8312993
-4.010207,8.8357
