norm_0,norm_1
-1.59323,6.9184103
-1.8793081,6.26233
11.517898,1.0456371
-1.2637722,6.9639125
-1.4129227,6.7044077
-2.0288048,6.3600464
-1.5706916,-0.9377254
-1.4561679,6.9396033
-2.1527948,6.3601117
-1.4587355,6.6255336
-1.9828397,7.353536
-1.9399128,6.102897
11.727738,4.6509843
-1.6985832,7.1993337
-4.654226,-0.20603183
-1.4805311,6.964945
-1.3415093,6.8168144
-2.6773722,-1.1760057
-3.825634,-0.18557227
-1.8936998,7.412121
-1.7352445,6.9348407
-1.7429515,7.6167374
-1.6948867,6.4604845
-1.5032454,6.95363
-1.6774932,7.314021
10.813302,-0.63237154
-3.5961947,-0.5218274
-1.8405492,6.80192
-1.734097,7.2628555
-1.7227073,7.256869
-1.6991007,7.697106
-1.8747071,6.6968927
-2.0449812,6.2106576
-1.6006083,7.301428
-1.8610485,5.9798913
-1.7074142,6.7593765
-2.420077,7.0560617
0.39438924,-1.6205878
-1.9231267,5.96999
-1.7298623,6.4070134
-2.138637,6.3034334
-1.6386763,6.219375
-1.6572707,7.568633
-1.7108735,6.344073
-2.014116,5.7851486
-1.66193,6.874817
-1.2246718,6.7836742
-1.6699313,7.3333573
-1.9595371,6.94755
-1.8079822,7.6757727
-2.1899545,7.081987
-1.6478848,6.8739047
-1.7903236,6.8685884
-1.1733925,6.716585
0.02231339,-1.5318329
-2.6048539,-0.14850652
-1.8078581,6.5256023
-1.8922993,7.6954618
-1.6215668,7.2062297
-1.6476332,7.9265494
-2.0190063,6.675548
-3.77204,0.39813995
-1.800813,6.5457892
-1.8205359,7.429159
-1.798661,7.484988
-2.0948658,7.017586
-2.1523433,6.368498
-1.630553,6.422382
-1.639155,6.5011864
-1.6649988,6.93083
-1.9399163,6.4652925
-1.7185177,7.998381
-1.9370209,6.913156
-2.3076255,7.180653
-1.8879367,6.6849465
-1.6682931,7.387683
-1.1374271,6.7501955
-1.5914359,6.7076583
-1.692787,6.3390894
-1.8482598,7.0563936
-2.0006583,6.14348
-1.6050215,7.8274226
-2.5952177,7.1472697
-1.7571304,6.174787
-1.8386905,7.082008
11.337417,-0.7626494
-2.0316427,6.139519
-2.6670983,-0.905581
-1.4844577,7.519822
-1.9483734,7.018543
-1.486861,7.1821594
-1.9269949,7.18798
-2.0401692,6.222283
-2.68512,7.1732197
-1.4021173,6.8618283
-1.6107272,6.596173
-1.7592723,6.148
-1.7320341,6.780513
-1.7037296,7.822791
-1.8854188,7.795226
-1.5719745,6.9522185
-1.7434102,6.8094506
-1.4863538,7.020159
-2.0786955,7.213774
-1.6381022,7.450381
-1.580886,6.54652
-1.6655948,7.88882
-1.3868833,6.6296964
-1.5509983,6.843219
-2.1705487,6.5105743
-2.0614285,7.2817574
-1.3191153,6.605457
-1.6557888,7.390525
-1.5263796,7.3640995
-2.1582599,6.3556285
-1.584913,7.7540026
-1.7892083,7.701909
-2.5875738,7.0730705
-2.4652472,6.983112
-1.271315,7.0338993
-1.3597347,6.9336543
-1.7488133,6.813169
-1.590873,7.8607655
-1.5080376,6.7224536
-1.4544291,6.8826556
-1.4826527,6.6380296
-1.4675215,6.710244
-1.5216448,7.3483663
-1.9815183,6.2516274
-1.686976,6.9319153
-1.50151,6.941023
-1.696405,6.7809606
-1.3846424,7.322043
-1.7439972,7.5372143
-1.9213778,7.1735897
-1.7280504,6.813121
-1.6425513,7.3021708
-1.5650048,7.6902604
-1.5981296,7.786411
-1.6282402,6.379595
-1.2922432,7.316528
-2.1797755,7.5200353
-2.557335,7.083086
-1.4903761,7.029247
-1.717515,6.942958
-2.6156592,7.145134
-2.118526,7.179796
-1.8335469,7.7915606
-2.237207,7.425059
-1.7242846,6.820563
-1.421882,7.1329637
-1.4961938,6.8530397
-2.654168,7.1806636
-1.600418,6.850766
-1.705134,7.2614365
-1.7441294,6.7945275
-1.5688639,7.055448
-1.4763067,6.687037
-1.3456072,6.5267715
-2.491595,7.0462
-1.740185,6.75684
-1.5998309,6.822963
-1.7984238,7.0514812
-2.1692314,7.074792
-2.5020895,7.0211368
-2.4070096,6.876266
-2.0832646,7.1283064
-1.9636494,6.965148
-1.9743166,6.937631
-1.5781752,6.896552
-1.2617911,6.5933385
-2.1224222,6.9748144
-2.339245,7.2731566
-2.3162804,6.9868555
-1.5634578,7.72224
-1.6766502,7.4160686
-1.6499604,7.274581
0.34462422,-1.9597046
-1.8972286,6.141235
-1.862818,6.768579
-1.6054701,7.2145166
-1.5269438,6.591758
-1.7270532,6.690068
-1.3442166,7.27417
-1.9891438,7.3685265
-1.8250282,6.8779726
