norm_0,norm_1
-0.56368685,9.497222
-0.8095891,8.626309
11.218812,-0.19699772
-0.25495285,9.450987
-0.282346,8.978656
-1.0116342,8.720635
-0.5696709,8.391909
-0.45778543,9.338253
-0.92296016,8.703803
-0.27009514,9.018868
-0.9881356,9.680064
-0.7904007,8.455214
6.464565,9.149598
-0.6667307,9.47408
-1.0332359,8.344449
-0.3875708,9.346989
-0.14288402,9.343338
-1.9539531,-0.82226866
-0.873786,8.434679
-0.7118561,9.917018
-0.54999024,9.480076
-0.7463958,9.871226
-0.42120063,8.791016
-0.45749167,9.325017
-0.69224566,9.760054
9.623438,3.133817
-2.2769358,-2.8009923
-0.67256063,9.175084
-0.732231,9.710276
-0.95321506,9.02307
-0.9165099,10.052632
-0.39328292,8.918035
-0.91405755,8.463022
-0.6571607,9.657577
-0.821269,8.549957
-0.5715709,9.377863
-1.5737165,9.4978895
-0.9243102,8.248797
-0.8248914,8.363893
-0.5379189,8.684736
-0.936176,8.525083
-0.53051597,8.454536
-0.6625788,9.9890585
-0.6885953,8.559711
-0.82221365,8.278112
-0.4131933,9.267241
-0.21613401,9.362752
-0.6992176,9.586632
-0.8672229,9.272738
-0.68063813,9.99402
-1.2156684,9.377201
-0.65672386,9.360631
-0.6646799,8.863704
-0.09416907,9.16691
-0.6540544,0.102423936
-1.0472062,8.360171
-0.80479014,8.672747
-0.95731723,10.170891
-0.6011859,9.343709
-0.65623206,10.38307
-0.88729477,8.644942
-0.6165361,8.367761
-0.8413323,8.537058
-0.8528502,9.66124
-0.77773345,9.625877
-1.1339426,9.295636
-0.921616,8.709184
-0.73161685,8.7877655
-0.6926623,8.804767
-0.7092652,8.952059
-0.9075559,8.727374
-0.6974019,10.363014
-0.9584115,9.307635
-1.1374788,9.553638
-0.71473837,8.804676
-0.75476855,9.685554
-0.047145613,9.269071
-0.25116867,9.066122
-0.5917797,8.661789
-0.8636399,9.6145525
-1.010089,8.545257
-0.7212972,10.249137
-1.6754866,9.565292
-0.53649765,8.442306
-0.6658279,9.456254
9.641499,3.7998605
-1.0454966,8.472315
-0.592906,8.330303
-0.4736397,10.063985
-0.84421664,9.349925
-0.4754398,9.62771
-0.86535364,9.441513
-1.02109,8.644537
-1.7389055,9.559805
-0.19214393,9.090133
-0.30295944,9.171524
-0.56731945,8.670959
-0.94413173,9.10846
-0.81857324,10.28385
-0.99580204,10.101632
-0.45221168,9.324288
-0.50582653,8.972152
-0.42912337,9.397632
-0.8794024,9.557993
-0.66846544,10.033397
-0.49572107,8.97551
-0.7739627,10.348142
