norm_0,norm_1
-6.6939106,13.263477
-7.020014,12.14294
10.846447,-2.076605
-5.6861186,13.697009
-6.276695,12.856177
-7.441569,12.513914
-7.2342424,11.905344
-6.3834176,12.984371
-7.530407,12.569668
-6.740936,12.894856
-6.7487855,14.406382
-7.6301208,12.197374
7.3998857,4.7771816
-6.385891,12.964194
-7.8439565,12.104318
-5.9432054,13.293332
-6.0525427,13.024727
-7.480562,11.687388
-7.54256,11.917879
-6.332295,13.470865
-6.396266,12.872686
-6.102694,13.62286
-6.9788833,12.185922
-6.419436,12.61876
-6.3979416,13.291513
7.5688496,4.6667466
-7.2042327,11.893291
-6.738469,12.94231
-6.2437663,13.5559
-7.527771,12.613989
-6.0682983,14.651031
-7.259745,12.728125
-7.649423,11.975234
-6.177959,13.160043
-7.2894936,12.055387
-6.6004763,12.977144
-7.786693,14.30725
-7.2863903,11.64381
-7.2483363,11.740976
-7.059449,12.14601
-7.5574393,12.086365
-6.9641585,12.074797
-5.738614,14.003367
-7.043226,12.1808405
-7.457958,11.819669
-6.428052,13.007477
-6.09191,13.373499
-6.45658,12.8834305
-6.7385497,13.095027
-6.24154,14.353415
-7.0534716,13.637453
-6.4708443,13.148552
-7.202762,12.200137
-6.156096,12.882325
-14.3377905,-1.4883217
-7.656187,12.018174
-7.19578,12.241464
-6.0743012,14.881569
-6.4566903,13.508096
-5.5401454,14.63634
-7.3037567,12.521035
-7.3491707,11.964071
-7.3882227,12.95706
-6.6543593,13.271071
-6.43954,13.138655
-7.119635,13.7190485
-7.653764,12.605738
-6.996104,12.379291
-6.985085,12.237059
-6.9359713,12.654979
-7.4682164,12.484686
-5.5539503,14.795061
-6.798651,13.48593
-7.451814,14.324087
-6.7800503,12.806849
-5.99049,13.888905
-5.8571186,13.261267
-6.268407,12.622848
-7.4072433,12.400096
-6.5738974,14.092092
-7.261005,11.766859
-5.648439,13.989147
-7.8140974,14.496894
-7.097,12.15806
-6.4560404,13.209122
7.4410486,5.782437
-7.357949,11.754322
-7.5453095,11.763569
-5.5905285,14.214219
-7.0657496,13.687621
-5.7915816,13.87568
-6.714975,13.133943
-7.661071,12.243954
-7.783279,14.648155
-6.3107,13.52786
-6.597417,12.642559
-6.9122853,12.765154
-6.722462,11.972595
-5.7085857,14.113514
-6.792686,14.442134
-6.3124547,13.09922
-7.1876807,13.388092
-6.1498265,13.303523
-6.8090053,13.515111
-5.7615604,13.47557
-7.083105,12.851526
-5.6501155,13.981245
-6.503996,12.606408
-6.5412354,13.4301605
-7.4881463,12.459812
-6.7644,14.395756
-6.6293726,12.503277
-6.1152687,14.33224
-6.061414,13.975048
-7.5903745,12.35775
-5.948984,13.475103
-6.5133615,14.768307
-7.8959193,14.326919
-7.6875405,14.176337
-5.76633,13.437615
-6.123122,13.226299
-7.179159,12.327428
-5.65859,14.073363
-6.3879714,13.287236
-6.5403233,12.471748
-6.7811427,12.564425
-6.6149864,13.055134
-5.6052494,14.020819
-7.317986,12.113605
-6.5450554,13.359008
-6.5672216,12.691326
-6.425464,12.835711
-5.6772385,13.79013
