norm_0,norm_1
-6.5153136,3.8492692
-6.1381297,3.4076982
8.964302,3.1523883
-6.6555934,3.836584
-6.0781984,3.4983847
-6.204992,3.523407
-5.9940143,3.1220489
-6.82728,3.6276636
-5.89285,3.5794384
-6.012067,3.747561
-6.7347116,3.8382347
-4.7633705,-0.023486901
9.204784,4.476124
-6.5594306,3.4196048
-3.6702147,0.29584453
-6.219121,3.5460908
-6.2523355,3.4751234
-3.2338545,0.34243387
-4.0554724,0.39214572
-7.294328,3.6563413
-6.286259,3.3800354
-7.1983204,3.6875634
-3.0649598,0.94437146
-6.985939,3.5447962
-7.029957,3.5921848
-6.7503695,3.313591
-3.3195515,0.64006966
-6.2003703,3.663521
-6.87445,3.5054185
-6.7277937,3.5469723
-7.179926,3.8097835
-6.051263,3.626983
-3.1649113,-0.114587836
-6.9026046,3.496061
-3.4337819,0.5625276
-6.537505,3.6144626
-6.449505,4.2766128
0.10318898,0.76889074
0.01781106,0.51864004
-5.9140573,3.3412106
-3.429744,-0.053845856
-3.7490747,0.23212536
-7.229973,3.5717685
-6.021082,3.259733
-3.1510088,0.21324712
-6.440924,3.8707771
-6.3364844,3.4905894
-6.5969377,3.4216404
-6.295158,3.505171
-7.0532527,3.6500125
-6.3850307,3.5637264
-6.745773,3.507613
-6.176458,3.5023024
-6.0214233,3.3887777
-1.407088,0.6971583
-2.8650186,0.07758843
-6.2353506,3.3502061
-7.7270546,4.109095
-6.8854227,4.0062737
-7.634985,3.9274828
-6.4679794,3.880372
-3.531928,1.5879574
-6.478534,4.3618336
-6.994888,3.989057
-7.0650277,3.7038252
-6.2170615,4.050903
-6.12197,4.0265813
-5.889289,3.3648224
-6.427643,3.3901138
-7.3616247,3.8003938
-4.362551,1.4424589
-7.6997895,4.048431
-6.7280464,3.974146
-6.5211744,4.2990885
-6.22372,3.9715922
-6.884332,3.8277652
-6.3957067,3.7370677
-6.433642,3.8300736
-5.9292617,3.3549078
-6.9412475,3.8469582
-5.748417,3.5216136
-7.3857703,3.72588
-6.424697,4.3992558
-4.2115955,1.2869182
-6.6634493,3.7244096
9.170552,4.640795
-5.5875783,3.3497992
-2.5402207,-0.42340294
-7.257983,3.885034
-6.233982,3.6319268
-6.9826393,3.805055
-6.566882,3.5229626
-6.2403235,4.1004605
-6.460879,4.4275556
-6.5206895,3.7551806
-6.151596,3.479605
-4.0366707,1.2214952
-6.57389,3.3525465
-7.3578167,3.6259153
-7.059348,3.5772474
-6.7743454,3.8158252
-6.2627916,4.027705
-6.7225122,3.7212777
-6.327462,4.2387257
-7.1178656,3.4801655
-6.102692,3.7579815
-7.4498134,3.63402
-5.97948,3.639341
-6.1927543,3.670376
-5.865342,3.716072
-6.8799396,3.9749494
-6.0178723,3.6908445
-6.9988976,4.083348
-6.9512067,4.021831
-6.0301023,3.8892252
-7.324068,3.5458977
-7.130769,4.095011
-6.286996,4.218957
-6.4166403,4.088565
-7.098535,3.7617822
-6.28867,3.6238916
-6.1739697,3.4220695
-7.4971747,3.8371701
-6.417536,3.6718786
-6.120043,3.4614346
-6.080486,3.6897564
-6.215069,3.8767986
-6.847479,3.6423736
-5.754199,3.451976
-6.34936,3.5829325
-6.3042426,3.373565
-6.165988,3.589658
-6.7509036,3.8874526
-7.093169,3.5047534
-6.73909,3.6020503
-6.6699367,3.772808
-7.1417403,3.6327627
-7.1340017,3.7706041
-7.568987,3.946771
-6.3834233,3.788488
-6.9971504,3.8627584
-6.739001,3.9827874
-6.386969,4.293583
-6.472465,3.9176667
-6.395533,3.752952
-6.246429,4.0942693
-6.4574585,3.893406
-7.6163993,3.9045124
-7.0090218,3.7098174
-6.0968065,3.811576
-6.5357566,3.6298308
-6.0439677,3.679893
-6.512961,4.4106603
-6.331037,4.219734
-7.016986,3.7164586
-6.1166706,3.3813834
-6.4451923,3.419972
-6.132891,3.6658509
-6.1417933,3.5059032
-6.108026,3.9534957
-6.5311737,3.4711556
-6.0604343,3.6112638
-6.4647408,3.499081
-6.237238,4.1774044
-6.0000196,3.7282803
-6.037404,3.9138381
-6.4848404,3.5082338
-6.474905,3.4786456
-6.311717,3.8777843
-6.0297327,3.6156042
-6.0772085,3.4474945
-6.142142,3.8108764
-6.75718,3.7000356
-6.534454,4.066657
-7.403905,3.646526
-6.771415,3.9061697
-6.8435783,3.87458
0.3871773,1.0078865
-6.3980784,3.5247276
-5.993889,3.7346568
-6.79692,3.8888576
-5.9514074,3.7413049
-5.6709814,3.1237223
-6.5374355,3.7524443
-6.688035,3.5446215
-6.2271724,3.3302226
-6.349476,3.4021769
-7.0237265,3.5084715
-6.2494783,3.903593
-6.677636,3.645534
