"","x"
"1","Prog_RBC"
"2","gdT"
"3","CD4 Naive"
"4","CD4 Memory"
"5","CD14 Mono"
"6","Naive B"
"7","CD8 Naive"
"8","CD14 Mono"
"9","Naive B"
"10","CD4 Naive"
"11","CD8 Naive"
"12","Prog_RBC"
"13","CD14 Mono"
"14","CD8 Naive"
"15","CD14 Mono"
"16","CD8 Naive"
"17","Treg"
"18","CD8 Effector_2"
"19","CD14 Mono"
"20","CD8 Effector_2"
"21","CD4 Memory"
"22","CD4 Naive"
"23","CD14 Mono"
"24","CD4 Naive"
"25","CD4 Memory"
"26","NK"
"27","CD8 Naive"
"28","CD4 Naive"
"29","GMP"
"30","CD14 Mono"
"31","Prog_RBC"
"32","CD8 Effector_1"
"33","CD4 Memory"
"34","CD14 Mono"
"35","CD14 Mono"
"36","CD8 Naive"
"37","CD14 Mono"
"38","CD14 Mono"
"39","CD4 Memory"
"40","CD16 Mono"
"41","GMP"
"42","GMP"
"43","CD14 Mono"
"44","CD4 Memory"
"45","Prog_RBC"
"46","CD14 Mono"
"47","CD4 Memory"
"48","CD4 Naive"
"49","NK"
"50","pDC"
"51","CD4 Memory"
"52","CD4 Memory"
"53","CD4 Naive"
"54","CD8 Memory_1"
"55","CD8 Naive"
"56","CD8 Naive"
"57","pDC"
"58","CD14 Mono"
"59","CD14 Mono"
"60","CD4 Naive"
"61","CD16 Mono"
"62","CD4 Naive"
"63","MAIT"
"64","CD8 Naive"
"65","CD14 Mono"
"66","Memory B"
"67","CD14 Mono"
"68","CD4 Naive"
"69","CD8 Naive"
"70","CD14 Mono"
"71","CD4 Memory"
"72","Naive B"
"73","CD14 Mono"
"74","CD8 Effector_2"
"75","CD14 Mono"
"76","CD8 Naive"
"77","CD8 Naive"
"78","CD4 Memory"
"79","CD14 Mono"
"80","gdT"
"81","CD8 Effector_2"
"82","CD4 Memory"
"83","cDC2"
"84","CD8 Naive"
"85","CD4 Memory"
"86","MAIT"
"87","CD8 Naive"
"88","CD8 Memory_1"
