rna_0,rna_1
16.23812,7.3853526
1.455925,-5.42189
0.83342606,-4.1549883
1.3138674,-9.412404
-1.1878968,15.787649
-19.781614,-3.358131
-3.7316496,-5.1049213
0.55563045,15.547531
-19.80379,-3.5555937
-2.0172267,-4.546348
-1.4084406,-4.520952
18.936396,5.324723
-0.59858465,14.334979
3.4361527,-9.491606
2.200167,13.462689
-3.115775,-6.5207934
0.77023315,-4.505419
7.4443283,-10.252387
-1.4254404,13.810863
6.964343,-10.581441
1.3128887,-9.881828
-0.5670166,-4.994257
3.0249844,13.584713
0.11669222,-6.1184688
0.43028468,-4.7229886
7.5999737,-14.450089
-3.6182253,-5.5030174
0.22731197,-4.301392
-0.7733181,17.45776
-2.1879406,15.321134
18.167416,5.4166117
7.6159673,-10.221273
1.6146474,-9.496796
-0.6185385,15.222579
1.7770053,13.203845
-1.9938357,-6.4281907
-1.7118411,15.657863
-1.3443525,15.688408
0.9315289,-9.069738
0.10426487,12.827168
11.398327,9.925603
10.11097,10.29841
0.53007853,15.026737
1.3455194,-9.978047
20.482038,6.3703794
0.43484414,14.046551
1.180935,-9.897543
-1.2603229,-5.6774077
8.0227,-13.057112
4.636431,11.279817
1.4204127,-9.774412
0.8810326,-4.030994
-0.55543005,-6.4922814
6.434689,-11.452393
0.046570837,-3.6432574
-4.113728,-6.08769
18.016302,-3.3156257
-2.1368985,14.105476
-1.8431511,16.14678
-0.096548304,-5.486444
5.2266026,14.153002
-1.7912779,-6.7398434
4.6452484,-11.439386
-4.041317,-5.7268324
-2.7290533,13.604262
-19.262053,-6.61899
-0.27961728,13.895595
0.28936607,-4.71526
-2.7700958,-3.7901552
-2.4209476,15.541287
0.63731265,-8.97135
-19.331814,-3.6431375
-1.1955954,13.099495
6.9025693,-11.496158
-3.0588799,15.219742
-3.740831,-5.296759
-3.0618875,-5.696695
0.6394914,-8.634904
0.9104959,13.423312
4.8130674,-11.218078
5.674095,-10.797989
0.8287614,-5.013995
2.4752233,13.177767
-2.6525264,-7.0328975
4.781896,-10.158371
4.3645916,-11.159339
-3.3200786,-5.8612323
3.7788901,-10.851984
8.734525,-13.546791
-19.63822,-3.4962595
8.641234,-14.670274
-0.835743,-5.9940147
-1.3932486,13.259596
4.0877247,11.463891
0.59738916,-4.7725396
3.3202217,-9.381948
10.154891,8.458626
-1.5088167,16.294674
-0.09051536,-6.950193
-19.697975,-3.5892377
7.6928673,-14.011754
-1.8977116,16.386599
2.586978,-8.977268
1.7057457,-8.010995
0.50116664,-8.259552
1.2582463,13.103595
2.245093,-9.579019
-1.5529126,-7.020845
-19.21027,-6.8174486
-1.3000379,-5.3233123
21.607597,7.178941
0.075137444,-6.531081
0.7779147,-8.56185
-0.5263097,-4.9611607
0.3575702,14.230286
1.2398831,-5.681912
-0.71287864,-6.503743
6.162524,-11.040083
18.06014,-3.4151597
-1.3236213,-7.4906387
-19.332369,-3.7771478
0.34816036,-4.1751256
11.128635,9.655054
-3.5170891,-4.234485
-1.9400216,15.238341
-3.4738045,-7.34332
0.15160733,-8.93726
1.7907991,13.637155
0.69202423,-4.4038906
1.3193755,-9.640624
-0.9617311,13.94686
-3.5003848,-7.001906
0.11411331,-6.108048
-1.0439508,-7.1627336
19.286325,5.546267
-0.31052417,-6.782757
-0.089316785,-5.093605
9.165039,-14.517476
1.2734741,-7.132695
6.6133246,-11.445762
0.28182173,-4.339938
-19.275898,-5.4453263
18.003275,-3.2759736
0.17728698,-7.555699
-1.7811012,-6.811216
-2.9519339,13.858827
11.579987,6.415113
4.6592073,-11.179267
-3.7518857,-6.778055
4.75713,11.208613
-0.28349078,13.537576
1.2752807,-5.3977695
-1.2638334,14.911414
-3.1859193,-4.010881
-1.337741,14.346645
0.5361997,-4.6610975
-19.812199,-3.702057
0.81277543,13.509826
7.3914323,-14.706929
-19.848793,-5.939776
20.55532,6.365146
16.39809,7.1841397
-19.814348,-3.0333643
-1.9463929,16.174261
-3.1615636,13.872052
0.56668675,-3.7175968
10.882507,7.461364
2.368518,-8.8796625
15.178706,8.873761
-1.325866,13.848418
-19.001406,-5.4746842
-20.227676,-6.6387978
0.83145446,-9.340572
7.3590956,-13.009262
0.26783857,12.918367
-2.1732724,15.932901
19.050156,5.3601074
9.16147,-14.997133
-3.7662897,-6.08818
-1.4273849,-3.619365
8.947323,-14.467072
1.8007317,14.386677
0.96181315,12.7966
-0.02897213,-5.922686
0.64434725,-4.4861703
12.399326,9.745317
1.2120211,-3.8833857
0.6147777,13.054894
-4.0825467,-6.904349
-1.6044455,14.085745
-0.35755154,-7.058803
1.7396908,13.4702425
-0.6571203,-4.02471
-0.70330197,-6.6393704
2.3467076,13.802383
6.2607675,-13.12664
1.036613,-5.453119
7.520672,-12.088859
-20.557213,-3.1124194
-2.0253286,15.395052
-1.2409662,14.093123
-14.77549,-17.669823
0.5553851,-5.4038973
-0.14278483,-7.278705
-0.79571563,13.309579
8.470932,-13.977922
-3.8935719,-5.9105563
-0.55831635,16.978949
0.026886068,-5.9495454
-1.3628691,13.840869
1.1165284,-6.009375
6.027089,-11.042622
14.970128,9.247058
-19.74449,-3.5405126
-0.23038605,-4.4255004
11.34529,9.780957
-1.5501626,-7.3271427
8.441284,-15.180874
7.5172024,-12.221641
-0.25710103,-5.6267147
-19.567062,-4.420171
-19.965614,-2.5663733
-4.0437846,-5.3563323
13.180863,7.9176645
6.348435,-10.668398
-1.4409786,-3.7427256
0.5071185,-8.2031975
0.48066568,-5.240629
5.105099,14.122548
-3.9559455,-6.6005206
1.9290967,-9.657002
-19.798832,-2.832684
-0.47444218,13.734105
0.41664985,-9.28352
18.082056,-3.4622004
-3.9648027,-6.7973194
0.6505263,-9.863543
-3.1552083,-7.129494
11.167589,7.6418138
5.577746,-9.887318
-2.9236689,16.184513
0.010702457,-9.61382
-20.154402,-4.2821355
14.142569,8.905011
-2.8022678,15.202472
-0.4188856,-7.6142287
-0.43570036,13.220265
18.560892,5.3623924
21.600584,7.136952
18.772741,5.371214
-2.8340774,14.329625
-3.4200723,-4.867232
-19.828989,-3.0002398
-1.0154378,13.18995
0.95504576,13.692892
-0.38179263,-6.0126505
13.27674,7.6454988
-20.42383,-6.0165753
0.54300433,-5.035476
15.2103815,8.087724
-0.32330692,-3.4975986
0.88732755,-9.588234
-0.2696534,-4.5106826
-0.24567533,-7.8568745
-20.054647,-3.1062672
-1.8924096,16.053799
6.684729,-12.828801
-0.14171487,-5.91056
0.8803523,-9.289055
-19.769802,-3.370244
0.0065416815,13.937682
0.6874052,13.968066
-3.9695756,-5.751765
-2.225204,-3.8604617
0.5780734,14.5658
10.525132,9.553162
14.665131,9.050141
-20.831572,-2.826472
1.4766593,13.792923
18.192886,5.6160502
-3.7906666,-5.239776
4.0710106,-10.745543
-20.205503,-5.6741896
0.11824099,-4.0178614
-19.537115,-7.2465687
10.592473,10.072861
-22.900858,-2.2933452
-3.4123857,-5.2551494
1.1200045,-10.10317
7.804905,-12.313105
-19.353329,-6.76074
-19.951843,-5.8582826
18.817286,6.2283616
-0.56330097,-8.38394
-2.842466,15.159867
-0.9566648,-6.0024385
7.2804394,-12.122296
5.817426,-11.07096
0.7947627,-9.338146
18.083727,-3.4684265
7.06209,-12.013967
-3.4635746,-5.610299
-4.1677437,-5.570403
-20.074547,-6.640373
-3.8924365,-5.2245812
-20.058386,-2.6854215
-19.791264,-3.9717784
0.09979697,15.84204
8.706574,-14.560324
-22.890465,-2.286451
-0.4226772,13.0560875
-19.283205,-6.7689147
6.5100975,-13.24342
-2.3306434,-7.524773
0.33146277,14.0743065
-19.281694,-7.2546773
0.07419358,13.736056
-1.1548198,-6.977352
11.905638,9.855876
-19.818424,-2.644362
-1.4715161,13.215387
-1.8808117,13.904134
-2.9277217,15.02307
-1.0455734,-6.1136084
-2.923244,-6.2544703
0.41752556,-3.765193
-0.26788077,12.522376
0.18553868,-4.791114
13.458704,8.922415
-0.7904927,-4.521874
-2.6372936,-6.370465
-4.3860254,-5.2219324
18.316992,5.500956
18.012028,-3.2956402
-2.7994554,-5.9738407
4.60041,-11.05033
-0.04728827,-8.352643
8.130504,-13.987458
1.0060809,-8.927963
2.2465522,-5.040079
16.57988,6.407636
1.7146595,13.672055
6.298273,-10.850488
0.19586162,-5.9682617
-0.48905644,-7.0294447
-2.779542,-6.263222
-0.47875535,15.062609
7.693213,-14.914266
4.561812,-11.1483135
0.93494356,-5.7127542
-19.473772,-4.910077
-3.1140258,-4.100703
-19.528082,-3.6582417
9.873814,9.175296
21.571619,7.1210904
1.4596083,-5.389296
-1.7855793,13.566985
8.710839,-14.589563
-0.07787397,-6.0095086
15.68914,7.3691254
10.232595,9.699264
0.124964856,-5.490821
2.9603364,12.782814
-1.8817664,-7.840051
4.4592133,-11.20432
9.136475,-14.50472
-0.114365615,-3.707704
0.018166032,12.505498
-20.120853,-2.889127
-3.5298035,-5.1702843
-0.8437385,-6.9798045
-1.9800807,-4.0828843
0.19343574,-4.5813885
6.6982975,-10.747521
-0.65912956,-4.724295
-19.710213,-6.3201556
-20.111063,-2.5927696
11.335284,10.014616
-0.42966795,14.269546
-20.203962,-6.670968
-1.4951493,14.046072
-0.8980788,-5.432374
-3.5714445,-7.00365
-0.58829135,-5.071189
-19.58782,-7.717049
-2.4546936,14.286868
7.789355,-9.951112
-1.6060089,13.458568
15.487248,8.558522
-19.815472,-5.8065333
10.423963,10.244291
-19.977264,-5.8539343
-14.774959,-17.669752
-1.487919,-6.2717514
-0.6164761,17.317616
6.904674,-10.30914
1.7664399,-5.1822314
15.835766,7.7478514
-0.8366156,12.990983
0.006930659,15.091185
-1.2910905,-3.9503813
-19.242226,-6.653545
7.1744976,-13.863412
13.5905,9.072429
-19.955736,-5.231997
1.1779443,13.357953
-0.03207614,-6.0255194
