rna_0,rna_1
119.54677,3.3523686
-17.417479,-1.1155162
-19.522446,-0.14683272
-11.223298,-10.760203
2.4539258,42.76971
21.055414,-14.354658
-31.626041,-10.724018
9.652031,47.167297
20.461006,-13.5275755
-27.149998,-9.654938
-25.329227,-0.93723464
194.56201,18.969395
3.7105684,37.402527
-8.62013,-19.0227
15.485292,35.659107
-26.8334,-12.722818
-19.385199,-1.5355808
-2.9994323,-30.635347
2.854505,35.628498
-1.8716587,-29.912893
-10.24344,-11.582144
-19.93136,-5.4762716
20.729967,41.379494
-20.594984,-3.5877047
-18.453161,-2.7295978
-3.5913236,-42.12052
-32.684433,-16.736996
-22.790026,-2.2034018
17.313396,51.981907
-1.3071325,41.549923
193.91078,16.641396
-2.1200328,-31.887926
-10.326968,-12.281141
3.4248989,39.645298
15.109211,32.57066
-26.056604,-10.717
-0.14751276,41.040695
2.56031,41.01776
-12.630456,-11.961863
11.412062,32.400944
64.89723,43.31704
30.227674,51.931644
10.297958,41.221687
-10.952688,-14.515255
160.96927,36.361485
11.742101,36.835804
-9.115164,-12.089228
-24.44612,-8.582843
1.405723,-39.050293
38.35792,32.885372
-8.438352,-11.558262
-16.567017,0.9948441
-22.436636,-7.7214575
-3.4861734,-27.55993
-24.004158,0.049288366
-29.977053,-15.927166
87.40755,18.7876
0.5291642,32.769154
-3.4474382,43.643173
-21.99465,-3.878865
25.956123,50.490845
-25.155575,-11.997236
-7.3605266,-25.843538
-31.527096,-16.286983
-3.672275,37.71183
19.043644,-4.678495
6.801028,35.483227
-20.688677,-0.7671777
-30.975838,-4.5909214
-4.830272,41.950256
-14.2700815,-11.036967
19.190172,-14.352472
4.140022,31.393852
-3.0591657,-36.16134
-4.9440584,38.085285
-29.943623,-10.168615
-27.364698,-13.2533245
-12.14568,-10.545303
9.986439,32.429375
-7.163776,-24.32283
-5.0817327,-22.29545
-20.3752,0.8604939
18.346386,36.620033
-22.39557,-13.832144
-4.056488,-21.388863
-7.6689205,-23.952856
-26.7186,-15.466253
-7.408549,-23.556438
5.0901027,-46.36924
20.506355,-14.374828
0.24175164,-46.870384
-23.160511,-6.098801
2.778981,30.19155
29.535465,35.08695
-20.425423,-2.6176145
-10.596162,-15.42509
77.26067,52.29607
0.045922633,45.20629
-20.17573,-9.333389
20.670351,-13.884905
0.0032820404,-43.313026
0.53269374,48.117542
-11.145448,-13.2591505
-11.95917,-7.324252
-13.970104,-11.022313
12.809887,34.673416
-9.502538,-13.14728
-19.767727,-12.530783
19.303026,-3.559685
-19.199657,-5.4702287
114.40653,75.97735
-22.308659,-7.153221
-12.831629,-11.358119
-21.06268,-3.155788
11.332696,35.05124
-16.733458,-3.0679157
-21.520254,-9.904449
-3.5467052,-23.600054
92.98679,17.788445
-20.20704,-13.316028
18.349157,-12.899388
-17.552256,0.5276906
69.82067,44.521137
-33.016983,-6.8876286
1.0144198,41.610844
-22.590082,-16.574287
-14.676988,-12.480035
16.873882,37.071873
-19.973925,-1.3207568
-9.151311,-13.561865
6.9119725,36.80673
-26.839695,-14.640928
-19.680311,-4.863005
-20.237541,-10.599908
193.57393,21.058647
-19.35197,-8.110774
-23.239626,-4.664108
3.9272437,-48.692024
-14.5392475,-7.283278
0.039393038,-28.634007
-22.093191,-2.7353942
18.43395,-7.8918915
81.24533,15.739568
-14.021719,-8.990468
-23.148327,-11.433341
-3.5597856,35.080715
114.61561,23.988817
-5.9868617,-25.863964
-27.876629,-16.299753
34.627373,36.58006
6.9658365,32.08255
-17.599237,-1.3657355
2.3754969,40.384586
-31.202675,-5.4891424
3.6678421,34.454365
-18.359978,-1.0614598
22.428045,-11.44528
10.781421,33.637135
-4.4676247,-44.307117
19.541925,-6.792481
168.66412,35.04498
128.62553,1.8873479
21.42082,-17.454483
0.0666751,45.376614
-4.598089,35.24513
-23.115807,0.4421902
105.0713,37.003757
-8.395929,-16.693712
97.111,-0.31146803
