rna_0,rna_1
6.5996275,12.816111
-1.1591909,11.492521
-0.9312059,11.623371
-1.0181748,8.193715
13.374489,11.796945
7.8169227,-2.3509684
-4.2370763,10.751988
13.028441,10.62994
8.094562,-2.3297126
-2.7955823,11.554093
-2.5093286,11.637121
6.1646876,15.1639385
14.208324,11.199979
-0.6258048,8.378452
13.558132,9.089639
-4.472908,10.1315
-1.5465955,10.573169
0.60075545,4.423417
15.220371,11.653718
0.78453785,4.729558
-1.1725578,8.6281805
-2.343968,11.026545
14.11675,8.987158
-1.983933,10.342953
-1.4372258,10.940628
3.687716,4.8916645
-4.473276,10.501618
-1.6594286,11.544353
11.453136,11.679176
14.266175,12.705867
6.4157505,14.771871
0.7501326,4.408572
-1.3096191,7.947332
13.878357,11.232734
13.478346,9.305976
-3.672516,10.074424
13.8140335,11.987862
13.412986,11.749663
-1.0557879,8.244369
11.519646,16.287012
9.56723,11.358921
11.049573,11.531282
13.276202,10.371353
-1.1449475,7.4474177
5.3863378,16.241108
14.192049,10.20484
-1.2327265,7.6805687
-3.1878994,10.31178
3.0713143,4.189171
11.62343,8.5036745
-0.6558952,8.531285
-1.0944107,11.570186
-2.7431815,10.016281
1.3283793,5.777284
-1.4923517,12.343877
-5.123484,10.346397
13.860922,2.6700606
15.3178,11.7822695
13.691027,12.960143
-2.5765543,11.098353
11.100471,16.75101
-2.6793382,9.901373
1.6963366,6.259162
-5.066948,10.561581
15.02821,12.550952
6.063908,-2.842255
14.283087,10.505053
-1.2421327,11.834346
-2.8794217,11.653411
14.185442,12.812393
-1.3582329,8.502601
7.557532,-1.9347218
15.247746,10.818294
0.8851033,4.7413
14.817465,13.020379
-4.3333406,10.847701
-4.0706477,10.499458
-1.1906832,8.048497
14.658623,9.9567795
1.2517215,6.4876757
0.6723083,6.167441
-1.172697,11.4063425
13.064582,9.104556
-3.7272098,9.10904
0.4365136,6.1364403
1.3659414,6.3190203
-3.9955723,9.612022
0.7251873,6.7150702
3.9719927,3.5153372
7.565613,-2.2876265
4.033512,4.1205373
-2.5230331,10.448433
15.472361,11.337563
12.108718,8.404593
-1.1743109,11.361813
0.19820243,7.939565
9.895412,10.176751
13.210524,12.530761
-2.105714,9.904946
7.659129,-2.2369683
3.619792,4.319354
11.960043,11.972009
0.043011237,7.768084
-0.7840681,9.810981
-1.9289154,8.682862
14.418793,9.942753
-0.60363626,8.586493
-3.1327238,9.792596
5.9225073,-2.7195039
-2.2811563,10.8481455
4.427698,16.572405
-2.1842937,10.748809
-1.4417198,8.28368
-2.1728446,10.755155
14.160745,10.471639
-0.82645726,10.915548
-2.4278378,9.357788
1.2284154,5.3915873
14.094792,2.3080378
-2.5592833,9.396194
7.3451757,-1.8124695
-1.1522342,11.916559
9.69372,11.105866
-3.581529,11.888848
13.913083,12.308009
-3.052637,8.525436
-1.8973187,8.132126
13.729405,9.829264
-1.3819939,11.795221
-0.62938774,7.804615
14.273775,11.193347
-4.7654576,9.461889
-1.5624654,11.170864
-2.2639904,8.9681
5.9830046,15.29372
-2.0232916,10.256674
-2.334011,10.551203
4.0281444,3.6187255
-0.85368997,9.193322
1.6750124,4.9480467
-1.5714769,11.47864
6.3846393,-2.2975852
13.741028,2.838947
-1.9806005,9.253654
-3.365182,9.508029
15.042391,12.571264
7.9798512,8.6309805
1.5375518,6.0637403
-4.9117665,9.615318
11.585046,8.458267
14.84358,10.552312
-1.0306765,11.141357
13.784873,11.327527
-3.287707,11.964944
14.558238,11.63232
-1.0942535,11.271674
7.578583,-2.4296956
14.156786,10.23691
3.6836517,5.0963044
6.2727404,-2.6232464
5.360088,16.313704
6.4519396,12.945405
8.021728,-2.7032368
13.436643,12.771021
15.412597,12.56149
-1.2705058,12.109865
9.448485,9.893834
-0.18242559,8.028444
6.6349435,11.502732
14.632951,11.283578
6.65171,-1.9477767
5.738774,-3.4478276
-1.3780221,8.630095
2.2791336,4.8523335
14.229147,10.677952
14.084478,12.56744
