rna_0,rna_1
17.291842,5.2943273
1.5604645,-4.5508933
1.2731544,-3.10803
1.215442,-8.260375
-1.6546975,17.146147
-19.23799,-9.057105
-4.3561745,-3.4524035
0.57354707,16.764248
-19.679058,-8.580561
-1.7547356,-2.6790638
-0.6890158,-2.9209452
20.935768,4.5006037
-0.97353417,15.252735
2.5570557,-8.063286
2.9832318,15.095763
-4.84805,-4.5363984
0.22575986,-4.5909114
8.288968,-8.325569
-1.8603224,13.907784
7.6736493,-9.034942
0.853976,-7.1993613
-1.0400512,-4.0171227
4.0725055,15.386495
-0.7977412,-4.2575426
0.59738,-4.626378
8.049118,-13.514724
-4.3307767,-3.6757903
0.025697272,-2.736284
10.701714,8.03987
-3.249098,15.298824
20.26572,4.3394303
8.405398,-8.596386
1.0201048,-8.753732
-1.0968357,16.06436
2.3813264,13.596742
-3.1926126,-5.0487895
-2.6904376,15.863677
-1.9262503,16.465559
1.1309873,-8.221349
5.5319214,15.966319
12.318955,7.2147307
10.6683235,8.093548
1.0057971,16.491858
0.798237,-9.759325
22.232824,6.174441
0.60019153,15.170346
0.59787697,-9.113656
-2.6766677,-3.944405
8.773843,-12.34808
5.5497255,12.119416
2.0093088,-7.8538213
1.3393525,-3.7751882
-1.7013848,-5.0423336
6.347494,-10.097574
0.5716953,-2.055125
-5.5412607,-3.9222882
19.634348,-4.973101
-2.1625955,13.744788
-3.8976152,16.474323
-1.2445722,-3.8670378
6.3958807,16.460556
-2.3116274,-5.4102764
5.2318034,-10.946109
-5.522095,-3.7190075
-3.2463284,13.622087
-17.984524,-11.822016
0.03159012,14.853931
0.7451197,-3.0843832
-1.8842607,-1.9998785
-3.5142689,15.583609
0.11689781,-8.118194
-18.486094,-8.605839
-0.6673111,13.473655
7.779743,-9.521944
-4.379644,14.234487
-4.553639,-3.3898258
-4.2112203,-4.0514774
0.5461919,-8.404269
1.2597212,13.82816
4.6407022,-10.202857
4.9223156,-9.191525
1.3934218,-4.25103
3.4755664,14.410511
-4.2904644,-6.3013988
4.4989896,-8.51922
4.9955626,-10.216512
-3.7991242,-6.0056353
4.0252028,-10.297553
10.104679,-13.613069
-19.141157,-8.893201
9.374804,-13.857808
-1.6924238,-4.4192076
-1.0742437,13.073155
4.9380274,12.386692
0.8516983,-3.2590904
3.5792856,-8.008326
12.753726,9.305904
-3.2384968,17.107868
-0.97930443,-5.5484047
-19.06015,-8.952705
8.918182,-13.226271
-3.8712242,16.695808
2.5475929,-7.935721
1.5505949,-6.1355147
-0.24741706,-7.780158
0.9270176,14.078936
1.6730413,-7.477703
-2.62678,-5.948985
-17.739239,-12.110605
-0.7759795,-3.8086574
22.336624,7.4488163
-0.968704,-3.9426167
0.37801158,-8.073307
-0.10408264,-3.8854017
0.07896642,14.882626
1.5186026,-4.9725204
-2.4093878,-6.3417773
6.326258,-9.477055
19.793116,-5.382839
-0.996609,-6.5514045
-18.287935,-9.053165
1.3546493,-3.0833325
12.46418,7.5589886
-3.6149879,-1.8540324
-2.592521,15.95013
-2.6687965,-8.100751
-0.7195139,-8.164634
2.1715608,15.346602
0.73020357,-2.946283
1.6004014,-8.856968
-0.9825808,15.170328
-5.3975263,-5.631635
-0.16285151,-4.0648804
-1.5979412,-7.082909
