rna_0,rna_1
115.16295,6.1934423
-17.876476,-2.7183087
-23.868954,-2.8227928
-7.3927484,-4.564967
2.2084057,45.418503
-0.42899972,-49.998627
-23.537106,-18.267931
9.6111145,44.896774
-0.5451668,-48.92495
-24.74124,-12.495086
-23.64811,-7.813595
144.63039,7.6273704
2.9227343,39.212296
-10.373256,-5.554432
13.8782425,38.394672
-15.489976,-14.895485
-21.991936,-4.2128825
12.901689,-4.989313
0.73403007,37.33041
9.129544,-3.4824772
-8.764435,-3.4782002
-21.5899,-6.876146
17.545513,40.067955
-19.605017,-7.60233
-22.994375,-6.1408544
21.074265,-8.295199
-21.577251,-18.000814
-22.748306,-6.3639107
12.144058,53.32739
-1.9345162,42.34733
139.37262,3.922003
12.083789,-4.7454433
-6.673779,-6.044142
6.2720404,41.353886
14.167927,36.779266
-18.253622,-13.127735
0.42317685,44.805466
1.1105015,45.723557
-6.8250914,-9.809636
10.242687,34.877197
62.70727,45.888687
31.397583,55.11746
9.6017885,42.72372
-7.065561,-6.919627
134.5819,31.576992
9.239946,38.591545
-7.03858,-4.3005257
-20.322542,-12.060066
20.374172,-5.077865
39.625496,36.960598
-6.5203204,-3.4553688
-26.94489,-2.4867256
-19.77789,-8.905517
10.3598795,-2.970674
-24.100006,-4.66135
-22.249132,-20.638342
88.771454,28.26596
-1.0682389,38.228046
-2.519434,47.16279
-19.154226,-7.121836
24.07805,52.371544
-17.593794,-9.567094
5.4834566,-8.200863
-19.382477,-19.277107
-4.261667,37.959156
9.876254,-41.06243
3.7627523,36.727997
-20.71676,-5.9049935
-27.534306,-14.304981
-3.1855981,42.51759
-9.312856,-6.5830445
1.2382033,-46.269012
2.5913353,33.87081
19.031687,-7.903969
-6.019338,40.561447
-19.933441,-16.185814
-21.624147,-17.359995
-9.78273,-6.6779156
10.709279,36.23398
4.3931966,-7.7471933
6.2417083,-4.6046433
-20.493338,-3.3957353
16.989384,38.404552
-15.011939,-14.562773
3.1128685,-4.134415
4.631234,-8.816358
-19.363323,-18.681128
1.7853335,-8.425697
21.63257,-2.5311427
0.8326035,-47.980137
25.86549,-8.092754
-19.323372,-8.985684
1.9652236,34.75103
27.412207,38.051125
-23.321882,-4.369564
-1.7786032,-5.327524
72.818184,56.318012
-0.46013787,47.21573
-14.555418,-7.148184
1.4123861,-47.33849
22.783089,-8.298918
3.6833484,50.367817
-5.9135633,-5.420472
-11.310173,-2.8607085
-13.011301,-8.727312
10.964284,35.449
-6.0246887,-2.6508863
-16.919388,-12.53573
9.353471,-41.059826
-30.709862,-4.4160895
34.577087,132.17854
-18.312449,-9.445776
-10.833223,-6.0098042
-21.639544,-3.4211
6.7935796,37.709084
-18.523506,-4.339233
-17.598969,-9.327623
6.0122027,-4.5228357
91.85864,27.277851
-14.428077,-12.345207
0.4929295,-46.165047
-21.431341,-3.0861132
62.461117,47.827015
-25.529486,-18.152624
-0.46025416,43.002697
-13.174209,-15.078198
-8.535727,-8.148042
13.831926,38.734688
-24.021576,-5.0672665
-4.9884973,-5.415384
5.394112,39.77177
-17.130863,-17.571154
-18.015858,-6.9288063
-15.662364,-13.023602
144.18256,12.821688
-14.061805,-7.0325685
-21.15057,-7.3273787
27.444206,-4.386765
-11.986384,-4.781713
11.52093,-3.0141885
-25.313488,-5.5074124
5.8373294,-41.809055
84.45115,26.952143
-15.908539,-6.3062797
-16.425226,-13.045111
-6.2082257,37.343117
107.52854,31.166475
4.516952,-8.748767
-17.122503,-18.6596
33.037148,40.150955
5.7362566,37.587418
-22.93766,-2.8042932
1.7689639,41.06113
-25.771774,-17.452806
0.35897323,38.003986
-23.55551,-5.969455
2.0635989,-47.094936
10.109224,37.283245
21.320755,-10.455805
11.29582,-45.520786
134.39653,33.416077
115.61904,3.413875
0.06521167,-52.91846
-2.6421714,45.573612
-5.121146,38.090126
-23.43318,-4.02795
103.79462,44.354153
-3.9302695,-6.4633904
97.7449,8.122847
3.3809483,37.40477
4.9558034,-41.351135
13.611256,-46.615498
-7.884996,-4.9931154
19.022083,-5.4461727
9.575907,41.844013
-1.230277,41.63724
145.57162,11.091693
31.082567,-5.535618
-19.530888,-19.24883
-27.625164,-7.542261
26.056839,-4.4892774
12.8368435,41.04821
6.9247875,33.517242
-20.0249,-7.713227
-21.923569,-4.464547
81.63283,38.89609
