rna_0,rna_1
6.4254093,-4.8398376
-4.38411,2.1464672
-4.4465933,2.7435362
-1.2765543,2.3544254
14.053847,-0.30690578
6.128013,13.329932
-4.3017907,-0.25576875
13.843,0.5956863
6.2532988,13.407534
-4.2218933,1.1965402
-4.4520855,1.562166
6.152804,-6.6240096
14.908129,0.09629502
-0.100852616,1.9369601
14.448432,1.736551
-3.6240513,-0.40015665
-4.0527997,2.8050027
2.6095963,2.5538774
15.337195,-0.27317163
2.5956144,2.3736308
-1.3052838,2.6477463
-3.7352993,1.4488869
14.925094,2.0993383
-3.225914,2.188427
-3.6577113,1.8015978
3.8214536,-0.032073356
-3.9991875,-0.060550712
-4.070188,2.3690586
12.438553,-0.11088564
14.39284,-1.2230725
6.328772,-6.300894
2.7893615,2.8121321
-1.0295628,2.257302
14.411313,-0.038989194
14.150457,1.8515296
-3.2854714,0.5035718
14.634228,-0.785963
14.130127,-0.4454001
-0.8808756,1.8820727
15.593821,0.502055
11.120737,1.1414504
12.157103,0.17398278
14.1395,0.9530919
-0.5393502,2.4859948
5.0547175,-7.3051167
14.713365,0.99067515
-1.137147,2.5135589
-3.4776819,0.87976485
4.079869,0.63856703
12.796861,2.6165197
-1.2211818,2.8150098
-4.5143504,2.7858093
-2.4902847,1.3080121
2.308048,1.8481913
-4.684992,2.4559052
-3.965153,-0.8982114
9.732576,-7.2140603
15.470366,-0.62037975
13.982073,-1.1987822
-3.2432165,1.8757595
13.335591,-5.298616
-2.7369733,0.8453642
1.7323335,1.0069089
-3.7225814,-0.7026087
15.503318,-0.7729024
4.474561,12.907792
14.883042,0.5421631
-4.6814823,2.333382
-4.830518,0.9233696
14.114278,-1.0956208
-1.3000011,2.2435038
5.8537316,13.375692
15.785576,0.14235523
2.4402418,2.1770375
15.00132,-1.5389812
-4.10874,-0.26624173
-3.6484742,-0.22466713
-1.4355392,2.1661544
15.297882,1.3482108
1.5640149,1.4059702
1.6388391,2.0101247
-4.1773295,2.7756984
14.046531,2.0471244
-2.4163837,0.39289585
1.0767205,2.0674253
1.2961336,1.3528911
-3.3679225,0.09199364
1.1035675,1.2212089
4.8563304,0.33059034
5.968676,13.428581
4.5501256,0.041422445
-2.677294,1.465236
15.877379,-0.14899936
13.159733,2.623267
-4.0418,2.8365796
0.37877297,1.8697411
10.591265,0.4289652
13.86213,-0.6836978
-2.5735831,1.6107813
6.162137,13.292166
4.1873846,0.303509
12.672105,-0.29780382
-0.3063985,1.8158582
-2.399053,2.6871107
-1.7625349,2.106293
15.20626,0.97960657
-1.4971519,2.6690428
-2.5427396,0.86396945
4.336731,13.056928
-4.0351152,1.4118737
4.0979114,-7.2195888
-3.4383767,1.7168576
-1.3676525,2.4573572
-3.7331655,1.0699002
14.538489,0.58487564
-3.0181828,2.724428
-2.6080253,1.3128748
1.9280244,1.9647143
9.599111,-7.6111617
-2.4624376,1.541587
5.7221084,13.520923
-4.5880756,2.6925647
10.951029,1.0525506
-4.602223,-0.32361108
14.273856,-0.7433832
-2.5215242,-0.26041427
-1.4153548,1.7848065
14.572909,1.3914446
-4.6115746,2.387145
-0.79121965,2.0703351
14.869585,0.16506703
-2.787507,-0.072496906
-3.914246,1.8513144
-2.1924846,1.2190758
5.8340335,-6.8387833
-2.5382128,1.8896261
-4.084682,1.5259367
4.6868443,0.4595492
-1.9682825,2.3055582
2.8320076,1.5693303
-3.8953114,1.9545476
5.005569,13.214291
9.874683,-7.100852
-2.6056507,1.7113137
-2.814061,0.69291013
15.623124,-0.9643508
9.489337,5.713195
1.6162205,1.3521667
-3.2392097,-0.76060057
12.833652,2.6578681
15.387689,0.52334523
-3.3315833,2.643166
14.655572,-0.09399424
-4.7747984,0.50056875
14.983348,-0.2791459
-4.260372,2.2152588
5.8552084,13.262542
14.783212,1.0436108
3.6987646,-0.2470236
4.8819666,12.632576
5.035101,-7.3739448
6.370481,-4.867182
6.4980397,13.24898
13.797656,-0.97903687
15.767395,-1.2120274
-4.6256647,2.3224263
10.148043,0.89422446
0.01652599,1.8440043
8.608943,3.428923
15.028616,-0.10501882
-4.638051,3.017826
4.621404,12.266312
-1.3635714,2.474397
3.1279852,0.9539659
15.48272,1.1478056
14.397655,-0.5871212
6.1042824,-6.7953706
4.9656615,0.055255614
-3.108514,-0.2807133
-5.0536623,2.1672294
4.7144427,0.2543576
13.619047,0.91909266
15.755731,0.5230478
-3.410012,1.9886739
-3.9227796,2.8364527
10.2976465,1.9453948
-4.5556917,3.049477
15.453769,0.8525043
-2.8930717,-0.421346
14.67085,-0.47120097
-3.0069761,1.8936484
14.863119,1.6586175
-4.6639047,1.9870462
-2.4187207,1.4913381
13.658578,1.684635
2.7584755,0.7186762
-3.91105,2.2257433
3.3486316,1.6124599
6.4631977,12.53727
14.109605,-0.83350366
14.869336,0.111989155
13.046492,10.787986
-3.036721,2.3600407
-1.8662814,1.8088415
15.784352,0.19218618
4.419538,0.3797728
-3.9698057,-0.50055975
13.256524,-0.5199336
-2.7293787,1.218515
15.403296,-0.09704566
-2.8369098,2.3532164
2.0400398,1.8178362
8.96243,3.7147489
6.394658,13.26603
-4.0482984,1.935701
10.896834,1.2643243
-2.3449044,0.9678229
4.5634294,-0.31365258
3.3946636,1.5341426
-3.3927913,2.210971
5.4885297,13.133722
7.018384,13.232135
-3.013234,-0.36102918
9.498514,1.9287235
2.2310338,2.114681
-4.937285,1.0169474
-1.9481267,2.2728536
-3.4176753,2.7484558
13.332349,-5.1190486
-3.0166793,-0.43679145
-0.3867513,1.7870164
6.701779,13.067172
14.811548,0.6591619
-2.3737376,-0.31707117
9.461123,-7.852251
-2.9249134,-0.669121
-1.2239227,2.129556
-2.6392803,0.10187289
9.930301,1.4087183
0.99194425,2.1760068
14.365396,-1.5198313
-1.1539192,1.5793777
5.9456453,12.620817
9.2483,2.9416108
14.876094,-1.5449127
-2.162705,0.9561465
15.373369,0.15689631
6.373713,-6.696166
4.187824,-7.3886156
6.316457,-6.6793447
15.420928,-1.3100011
-4.001225,0.84298134
6.1193233,13.165176
15.116567,-0.27903917
15.325614,0.75130254
-2.758924,1.502014
9.390392,4.450158
5.024819,12.346361
-3.6895952,2.344901
8.979488,3.1297722
-4.7530117,2.56921
-1.070822,2.229596
-3.9899626,1.6511842
-2.3140996,1.5627108
6.3296833,12.973069
14.484196,-1.1369635
2.9193487,0.98493016
-3.114484,2.058752
-0.82352036,2.1593642
6.1626396,13.193536
14.797262,1.255485
14.570149,0.91878915
-3.8810983,-0.6136907
-4.826306,0.87895584
14.757197,0.8948866
11.247344,0.56631094
9.040786,3.2525322
6.6560984,12.553245
14.5561285,1.6357683
6.525967,-6.3122663
-4.22276,-0.46589065
1.1557345,1.3420374
5.107843,12.479067
-4.4351044,2.1939876
4.0367074,12.614919
11.830543,0.46363223
7.176838,11.527615
-4.098681,-0.16114002
-1.4446115,2.8807235
3.6348255,1.5146356
4.3105316,12.847318
5.0750046,12.679257
5.7774887,-6.3819966
-2.9730065,1.8694555
14.82591,-1.4210304
-3.434665,1.1530182
3.2845643,1.4298776
1.6496891,1.9113265
-1.3603101,2.0435178
9.4550705,-7.8499756
3.19548,1.2580175
-4.130306,-0.041612986
-3.713634,-0.6257251
4.5386553,12.194526
-3.901976,-0.64602
7.0994153,13.163561
5.8275976,12.897174
14.075038,0.14152902
4.7580094,0.05160886
7.2013855,11.494224
15.581683,0.67212117
3.992338,12.898735
2.8949919,0.7865545
-2.5009627,0.5049317
14.752644,0.4186054
3.8722456,12.844024
14.711409,0.32315505
-2.855688,1.4282236
10.663147,1.6271127
6.379737,13.224497
15.676807,-0.3090456
14.959464,-0.43128812
14.811814,-1.543001
-2.6814117,1.4663476
-2.9880195,0.52392316
-4.835958,2.2711575
15.938246,0.56960857
-4.4091153,1.9768267
9.6821995,2.4431372
-4.67077,2.1137033
-3.2825575,0.25449303
-4.354761,-0.46983844
6.1593375,-6.2985973
9.878783,-7.230192
-3.8445213,-0.053304985
1.4614685,1.1821865
-1.6998879,1.3754354
4.1379304,0.4442991
-0.8216808,1.719606
-3.7553518,3.131796
6.739262,-5.442537
14.460444,1.5283741
2.200386,2.1456122
-3.0161686,2.4359212
-2.429216,1.4742641
-2.7880266,0.7432107
14.327651,-0.051223524
4.0317307,-0.21422769
1.5190085,1.2038592
-3.2186325,2.6780171
5.5202103,13.174056
-4.673244,0.30946946
5.929514,13.371218
11.014661,0.1290113
4.153303,-7.376007
-3.4745984,2.9665422
15.676757,-0.47091192
4.4689302,-0.0019346841
-3.3765583,2.271081
6.5991006,-4.8697524
11.463072,0.3337782
-2.9985127,2.0011213
14.248858,2.162664
-2.4512262,0.15570277
1.4796104,1.0527823
4.8340397,0.39181715
-4.5542684,2.299648
15.766373,1.3255922
6.9248233,13.079551
-4.293202,-0.31383207
-2.2953577,0.6499963
-4.7425065,0.7133643
-3.4266865,1.9249213
2.446314,2.1216376
-4.392488,1.6777796
4.577927,12.415034
6.961831,13.188232
11.03312,1.155495
14.793477,0.28921345
4.48092,12.326191
15.041447,-0.27944103
-3.9415874,1.8333025
-3.0166829,-0.35295185
-3.754512,1.9146749
3.822402,12.307331
15.396693,-1.0094315
2.9015627,2.993161
15.686466,-0.50189674
8.400523,3.2396522
4.9647384,13.064264
11.977968,0.3160252
5.073058,12.418001
13.004984,10.819052
-2.8464248,1.412842
12.64267,-0.0648101
2.3396878,2.3689356
-3.800435,2.8602996
8.627567,2.9502726
15.722925,0.32789958
14.188794,0.6096756
-4.700902,1.2861131
4.263066,12.97153
3.6171308,0.4506684
9.422582,3.2672863
5.3605657,12.913055
14.796987,1.374737
-3.102273,1.6172065
14.265434,-0.52135766
-2.9213781,0.8216957
1.4070008,1.1078132
14.401973,1.2246873
-2.5665984,2.126833
6.037541,-6.856459
-4.4185247,-0.06055094
13.442394,0.14543498
-4.9847617,2.369088
6.2340093,13.076276
-3.3806486,2.1211874
3.5521045,1.4071149
-0.7361757,2.6258867
15.62397,0.96512026
-4.2888846,0.19868195
14.829898,-1.1076549
-3.1626449,1.5133808
4.7260156,12.146877
-3.3825462,-0.67578334
-2.3542488,1.301848
12.859442,2.755376
-4.978452,1.2052794
15.194059,-0.9270812
8.587527,3.558591
14.624549,0.37174836
15.359913,0.2613135
-4.550736,2.5990636
10.332881,1.0614752
-4.7841673,2.2128558
4.282341,12.404138
15.022001,0.5937465
-4.7124357,2.1703792
-4.3823385,2.4377587
5.392025,12.472006
13.85132,0.57857585
13.977506,-0.624217
-4.865888,0.6179794
9.485364,5.696353
-3.1638107,1.7222674
-3.7284796,2.249649
6.1770167,12.79599
6.494818,-5.945809
-3.9978497,-0.71240187
-3.608557,0.1837877
3.82183,0.7888551
12.776416,10.435649
14.187336,0.42416453
-3.376403,-0.7615623
13.4974575,-0.5131498
14.346488,-1.2420541
1.1788371,1.6306427
-0.74862427,2.2868428
12.849959,10.526336
5.0078773,13.340666
14.061446,1.0763904
13.6706,-0.6693801
14.732763,-1.172256
-3.3967717,1.041403
-2.9611216,2.5232823
13.634993,1.3956454
-2.5115356,1.9431286
12.457067,-0.023808239
-2.6420197,2.5871453
6.585849,-6.1469107
1.3383386,1.1102732
-3.7427354,0.75306386
9.189939,2.9527183
-4.1354766,2.7730358
0.7630295,1.6143025
-1.9929498,0.7347531
15.1655245,-0.33055335
14.706493,-1.2645774
-3.983171,0.821136
13.575502,-0.0010986296
2.8383472,2.2408407
13.734895,-0.53016233
-4.4281683,2.1788156
14.412563,0.57950586
1.423171,1.0899166
11.043982,0.6360014
3.865253,12.7871275
1.5763668,1.1211509
4.3994303,12.437017
-3.6097784,1.8598735
2.4559183,1.9100034
-3.482089,-0.8244943
15.371562,-0.46235052
-4.086952,-0.5611793
14.789704,0.16562241
6.827572,12.687639
-0.5926368,2.1727288
15.490886,-0.14602259
-1.2050124,1.9918991
3.6576583,0.387274
-3.5902607,2.5797007
13.867762,0.73609966
9.519033,2.5381148
14.993554,-0.0858047
-3.7486162,-0.6424602
-4.061024,1.6933837
-2.8811772,-0.6070438
13.777558,-0.239767
14.81224,-1.4531504
13.315577,-0.06204776
2.469342,2.1027536
14.000153,0.67417693
14.683179,-1.1591662
14.333214,0.6567209
4.3580647,0.30582613
13.973108,0.6608493
14.377905,-0.018614162
14.931632,-1.2917883
-2.535096,0.553617
6.37952,-6.8019557
-4.2092533,0.4908788
